abbr,name,city,country,arena,arena_capacity,founded_year,ownership_structure,owner,colours_primary_hex,colours_status,conference,division,metro_name,metro_pop,metro_pop_source,metro_band,teams_csv_as_of,teams_csv_source_url,confidence
BOS,Boston Celtics,Boston,US,TD Garden,19156,1946,majority,William Chisholm,,GAP,Eastern,Atlantic,"Boston-Cambridge-Newton, MA-NH",4919179,us_census_cbsa_est2023,mid_large_2.5_5M,2026-09-19,https://www.wikidata.org/wiki/Q131371,HIGH
BKN,Brooklyn Nets,Brooklyn,US,Barclays Center,17732,1967,majority,Joe Tsai,,GAP,Eastern,Atlantic,"New York-Newark-Jersey City, NY-NJ",19498249,us_census_cbsa_est2023,megacity_10M+,2026-09-19,https://www.wikidata.org/wiki/Q976396,HIGH
NYK,New York Knicks,New York City,US,Madison Square Garden,19812,1946,public,Madison Square Garden Sports Corp. (James L. Dolan),,GAP,Eastern,Atlantic,"New York-Newark-Jersey City, NY-NJ",19498249,us_census_cbsa_est2023,megacity_10M+,2026-09-19,https://www.wikidata.org/wiki/Q131364,HIGH
PHI,Philadelphia 76ers,Philadelphia,US,Wells Fargo Center,20478,1946,group,Josh Harris & David Blitzer,,GAP,Eastern,Atlantic,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6246160,us_census_cbsa_est2023,large_5_10M,2026-09-19,https://www.wikidata.org/wiki/Q138089,HIGH
TOR,Toronto Raptors,Toronto,CA,Scotiabank Arena,19800,1995,group,Maple Leaf Sports & Entertainment,,GAP,Eastern,Atlantic,Greater Toronto Area (CA),6712341,statcan_2021_via_wikipedia_gta,large_5_10M,2026-09-19,https://www.wikidata.org/wiki/Q329816,HIGH
CHI,Chicago Bulls,Chicago,US,United Center,20917,1966,majority,Jerry Reinsdorf,,GAP,Eastern,Central,"Chicago-Naperville-Elgin, IL-IN",9262825,us_census_cbsa_est2023,large_5_10M,2026-09-19,https://www.wikidata.org/wiki/Q128109,HIGH
CLE,Cleveland Cavaliers,Cleveland,US,Rocket Mortgage FieldHouse,19432,1970,majority,Dan Gilbert,,GAP,Eastern,Central,"Cleveland, OH",2158932,us_census_cbsa_est2023,mid_1_2.5M,2026-09-19,https://www.wikidata.org/wiki/Q162990,HIGH
DET,Detroit Pistons,Detroit,US,Little Caesars Arena,20491,1941,sole,Tom Gores,,GAP,Eastern,Central,"Detroit-Warren-Dearborn, MI",4342304,us_census_cbsa_est2023,mid_large_2.5_5M,2026-09-19,https://www.wikidata.org/wiki/Q169637,HIGH
IND,Indiana Pacers,Indianapolis,US,Gainbridge Fieldhouse,17923,1967,majority,Herbert Simon,,GAP,Eastern,Central,"Indianapolis-Carmel-Greenwood, IN",2138468,us_census_cbsa_est2023,mid_1_2.5M,2026-09-19,https://www.wikidata.org/wiki/Q170329,HIGH
MIL,Milwaukee Bucks,Milwaukee,US,Fiserv Forum,17341,1968,majority,Wesley Edens,,GAP,Eastern,Central,"Milwaukee-Waukesha, WI",1560424,us_census_cbsa_est2023,mid_1_2.5M,2026-09-19,https://www.wikidata.org/wiki/Q169165,HIGH
ATL,Atlanta Hawks,Atlanta,US,State Farm Arena,16888,1946,majority,Tony Ressler,,GAP,Eastern,Southeast,"Atlanta-Sandy Springs-Roswell, GA",6307261,us_census_cbsa_est2023,large_5_10M,2026-09-19,https://www.wikidata.org/wiki/Q140558,HIGH
CHA,Charlotte Hornets,Charlotte,US,Spectrum Center,19077,1988,group,Gabe Plotkin & Rick Schnall,,GAP,Eastern,Southeast,"Charlotte-Concord-Gastonia, NC-SC",2805115,us_census_cbsa_est2023,mid_large_2.5_5M,2026-09-19,https://www.wikidata.org/wiki/Q162954,HIGH
MIA,Miami Heat,Miami,US,Kaseya Center,19600,1988,majority,Micky Arison,,GAP,Eastern,Southeast,"Miami-Fort Lauderdale-West Palm Beach, FL",6183199,us_census_cbsa_est2023,large_5_10M,2026-09-19,https://www.wikidata.org/wiki/Q169138,HIGH
ORL,Orlando Magic,Orlando,US,Amway Center,18846,1989,majority,Dan DeVos,,GAP,Eastern,Southeast,"Orlando-Kissimmee-Sanford, FL",2817933,us_census_cbsa_est2023,mid_large_2.5_5M,2026-09-19,https://www.wikidata.org/wiki/Q180950,HIGH
WAS,Washington Wizards,"Washington, D.C.",US,Capital One Arena,20356,1961,majority,Ted Leonsis,,GAP,Eastern,Southeast,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975,us_census_cbsa_est2023,large_5_10M,2026-09-19,https://www.wikidata.org/wiki/Q161337,HIGH
DEN,Denver Nuggets,Denver,US,Ball Arena,19520,1967,majority,Kroenke Sports & Entertainment (Ann Walton Kroenke),,GAP,Western,Northwest,"Denver-Aurora-Centennial, CO",3005131,us_census_cbsa_est2023,mid_large_2.5_5M,2026-09-19,https://www.wikidata.org/wiki/Q165529,MEDIUM
MIN,Minnesota Timberwolves,Minneapolis,US,Target Center,18978,1989,group,Marc Lore & Alex Rodriguez,,GAP,Western,Northwest,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020,us_census_cbsa_est2023,mid_large_2.5_5M,2026-09-19,https://www.wikidata.org/wiki/Q157376,HIGH
OKC,Oklahoma City Thunder,Oklahoma City,US,Paycom Center,18203,1967,majority,Clay Bennett,,GAP,Western,Northwest,"Oklahoma City, OK",1477926,us_census_cbsa_est2023,mid_1_2.5M,2026-09-19,https://www.wikidata.org/wiki/Q180748,HIGH
POR,Portland Trail Blazers,Portland,US,Moda Center,19393,1970,majority,Tom Dundon,,GAP,Western,Northwest,"Portland-Vancouver-Hillsboro, OR-WA",2508050,us_census_cbsa_est2023,mid_large_2.5_5M,2026-09-19,https://www.wikidata.org/wiki/Q180950,HIGH
UTA,Utah Jazz,Salt Lake City,US,Delta Center,18306,1974,majority,Ryan Smith,,GAP,Western,Northwest,"Salt Lake City-Murray, UT",1267864,us_census_cbsa_est2023,mid_1_2.5M,2026-09-19,https://www.wikidata.org/wiki/Q166105,HIGH
GSW,Golden State Warriors,San Francisco,US,Chase Center,18064,1946,majority,Joe Lacob,,GAP,Western,Pacific,"San Francisco-Oakland-Fremont, CA",4566961,us_census_cbsa_est2023,mid_large_2.5_5M,2026-09-19,https://www.wikidata.org/wiki/Q169661,MEDIUM
LAC,LA Clippers,Los Angeles,US,Crypto.com Arena,19060,1970,sole,Steve Ballmer,,GAP,Western,Pacific,"Los Angeles-Long Beach-Anaheim, CA",12799100,us_census_cbsa_est2023,megacity_10M+,2026-09-19,https://www.wikidata.org/wiki/Q976893,HIGH
LAL,Los Angeles Lakers,Los Angeles,US,Crypto.com Arena,19060,1947,majority,Mark Walter,,GAP,Western,Pacific,"Los Angeles-Long Beach-Anaheim, CA",12799100,us_census_cbsa_est2023,megacity_10M+,2026-09-19,https://www.wikidata.org/wiki/Q121661,HIGH
PHX,Phoenix Suns,Phoenix,US,Footprint Center,18055,1968,majority,Mat Ishbia,,GAP,Western,Pacific,"Phoenix-Mesa-Chandler, AZ",5070110,us_census_cbsa_est2023,large_5_10M,2026-09-19,https://www.wikidata.org/wiki/Q164177,HIGH
SAC,Sacramento Kings,Sacramento,US,Golden 1 Center,17608,1923,majority,Vivek Ranadivé,,GAP,Western,Pacific,"Sacramento-Roseville-Folsom, CA",2420608,us_census_cbsa_est2023,mid_1_2.5M,2026-09-19,https://www.wikidata.org/wiki/Q166105,MEDIUM
DAL,Dallas Mavericks,Dallas,US,American Airlines Center,19200,1980,majority,Miriam Adelson / Patrick Dumont,,GAP,Western,Southwest,"Dallas-Fort Worth-Arlington, TX",8100037,us_census_cbsa_est2023,large_5_10M,2026-09-19,https://www.wikidata.org/wiki/Q169542,HIGH
HOU,Houston Rockets,Houston,US,Toyota Center,18055,1967,sole,Tilman Fertitta,,GAP,Western,Southwest,"Houston-Pasadena-The Woodlands, TX",7510253,us_census_cbsa_est2023,large_5_10M,2026-09-19,https://www.wikidata.org/wiki/Q160893,HIGH
MEM,Memphis Grizzlies,Memphis,US,FedExForum,17794,1995,sole,Robert J. Pera,,GAP,Western,Southwest,"Memphis, TN-MS-AR",1335674,us_census_cbsa_est2023,mid_1_2.5M,2026-09-19,https://www.wikidata.org/wiki/Q169950,HIGH
NOP,New Orleans Pelicans,New Orleans,US,Smoothie King Center,16867,2002,sole,Gayle Benson,,GAP,Western,Southwest,"New Orleans-Metairie, LA",962165,us_census_cbsa_est2023,under_1M,2026-09-19,https://www.wikidata.org/wiki/Q180950,HIGH
SAS,San Antonio Spurs,San Antonio,US,Frost Bank Center,18418,1967,majority,Peter J. Holt,,GAP,Western,Southwest,"San Antonio-New Braunfels, TX",2703999,us_census_cbsa_est2023,mid_large_2.5_5M,2026-09-19,https://www.wikidata.org/wiki/Q164177,HIGH
