name,first_name,last_name,height_raw,height_in,weight_lb,year_start,year_end,career_span_years,position,birth_date,college,draft_year,draft_round,draft_pick,source,source_url,coverage_note
Alaa Abdelnaby,Alaa,Abdelnaby,6-10,82,240,1991,1995,5,F-C,"June 24, 1968",Duke University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Zaid Abdul-Aziz,Zaid,Abdul-Aziz,6-9,81,235,1969,1978,10,C-F,"April 7, 1946",Iowa State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,7-2,86,225,1970,1989,20,C,"April 16, 1947","University of California, Los Angeles",,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,6-1,73,162,1991,2001,11,G,"March 9, 1969",Louisiana State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Tariq Abdul-Wahad,Tariq,Abdul-Wahad,6-6,78,223,1998,2003,6,F,"November 3, 1974",San Jose State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Shareef Abdur-Rahim,Shareef,Abdur-Rahim,6-9,81,225,1997,2008,12,F,"December 11, 1976",University of California,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Tom Abernethy,Tom,Abernethy,6-7,79,220,1977,1981,5,F,"May 6, 1954",Indiana University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Forest Able,Forest,Able,6-3,75,180,1957,1957,1,G,"July 27, 1932",Western Kentucky University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
John Abramovic,John,Abramovic,6-3,75,195,1947,1948,2,F,"February 9, 1919",Salem International University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Alex Abrines,Alex,Abrines,6-6,78,190,2017,2018,2,G-F,"August 1, 1993",,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
