game_title,year,season_field_hoopshype,player_name,overall_rating,certainty,source_url,access_date,notes
NBA 2K27,2027,2026,Stephen Curry,93,HIGH,https://www.hoopshype.com/nba-2k/players/stephen-curry/338365/,2026-09-20,Parsed from HoopsHype page __NEXT_DATA__ VideoGameRatings; community DB not 2K Sports official.
NBA 2K26,2026,2025,Stephen Curry,94,HIGH,https://www.hoopshype.com/nba-2k/players/stephen-curry/338365/,2026-09-20,Parsed from HoopsHype page __NEXT_DATA__ VideoGameRatings; community DB not 2K Sports official.
NBA 2K25,2025,2024,Stephen Curry,95,HIGH,https://www.hoopshype.com/nba-2k/players/stephen-curry/338365/,2026-09-20,Parsed from HoopsHype page __NEXT_DATA__ VideoGameRatings; community DB not 2K Sports official.
NBA 2K24,2024,2023,Stephen Curry,96,HIGH,https://www.hoopshype.com/nba-2k/players/stephen-curry/338365/,2026-09-20,Parsed from HoopsHype page __NEXT_DATA__ VideoGameRatings; community DB not 2K Sports official.
NBA 2K23,2023,2022,Stephen Curry,96,HIGH,https://www.hoopshype.com/nba-2k/players/stephen-curry/338365/,2026-09-20,Parsed from HoopsHype page __NEXT_DATA__ VideoGameRatings; community DB not 2K Sports official.
NBA 2K22,2022,2021,Stephen Curry,96,HIGH,https://www.hoopshype.com/nba-2k/players/stephen-curry/338365/,2026-09-20,Parsed from HoopsHype page __NEXT_DATA__ VideoGameRatings; community DB not 2K Sports official.
NBA 2K21,2021,2020,Stephen Curry,95,HIGH,https://www.hoopshype.com/nba-2k/players/stephen-curry/338365/,2026-09-20,Parsed from HoopsHype page __NEXT_DATA__ VideoGameRatings; community DB not 2K Sports official.
NBA 2K20,2020,2019,Stephen Curry,95,HIGH,https://www.hoopshype.com/nba-2k/players/stephen-curry/338365/,2026-09-20,Parsed from HoopsHype page __NEXT_DATA__ VideoGameRatings; community DB not 2K Sports official.
NBA 2K19,2019,2018,Stephen Curry,95,HIGH,https://www.hoopshype.com/nba-2k/players/stephen-curry/338365/,2026-09-20,Parsed from HoopsHype page __NEXT_DATA__ VideoGameRatings; community DB not 2K Sports official.
NBA 2K18,2018,2017,Stephen Curry,94,HIGH,https://www.hoopshype.com/nba-2k/players/stephen-curry/338365/,2026-09-20,Parsed from HoopsHype page __NEXT_DATA__ VideoGameRatings; community DB not 2K Sports official.
NBA 2K17,2017,2016,Stephen Curry,94,HIGH,https://www.hoopshype.com/nba-2k/players/stephen-curry/338365/,2026-09-20,Parsed from HoopsHype page __NEXT_DATA__ VideoGameRatings; community DB not 2K Sports official.
NBA 2K16,2016,2015,Stephen Curry,93,HIGH,https://www.hoopshype.com/nba-2k/players/stephen-curry/338365/,2026-09-20,Parsed from HoopsHype page __NEXT_DATA__ VideoGameRatings; community DB not 2K Sports official.
NBA 2K15,2015,2014,Stephen Curry,89,HIGH,https://www.hoopshype.com/nba-2k/players/stephen-curry/338365/,2026-09-20,Parsed from HoopsHype page __NEXT_DATA__ VideoGameRatings; community DB not 2K Sports official.
