season,fga,fg_pct,fg3a,fg3_pct,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pace,source_url,access_date,notes
1946-47,92.9,.279,,,24.8,.641,,,,6.9,,,,20.8,67.8,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1947-48,96.0,.284,,,27.0,.675,,,,7.0,,,,22.2,72.7,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1948-49,88.7,.327,,,31.3,.703,,,,18.6,,,,25.6,80.0,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1949-50,83.1,.340,,,33.1,.712,,,,19.6,,,,27.0,80.0,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1950-51,83.6,.357,,,33.4,.733,,,49.5,21.0,,,,27.0,84.1,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1951-52,80.8,.367,,,33.2,.735,,,54.5,21.9,,,,26.9,83.7,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1952-53,76.9,.370,,,35.8,.716,,,51.4,20.9,,,,28.7,82.5,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1953-54,75.4,.372,,,33.0,.709,,,50.9,20.3,,,,25.4,79.5,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1954-55,86.6,.385,,,35.9,.738,,,56.1,23.6,,,,24.8,93.1,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1955-56,91.4,.387,,,38.0,.745,,,60.1,24.3,,,,26.4,99.0,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1956-57,94.6,.380,,,36.9,.751,,,62.4,18.9,,,,25.1,99.6,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1957-58,101.9,.383,,,38.3,.746,,,71.7,19.6,,,,25.5,106.6,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1958-59,102.3,.395,,,36.3,.756,,,70.0,19.6,,,,26.0,108.4,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1959-60,108.7,.410,,,35.8,.735,,,73.5,22.6,,,,25.6,115.3,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1960-61,109.4,.415,,,37.5,.731,,,73.3,24.2,,,,26.8,118.1,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1961-62,107.7,.426,,,37.1,.727,,,71.4,23.9,,,,25.9,118.8,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
1962-63,101.2,.441,,,35.9,.727,,,66.7,22.7,,,,26.0,115.3,,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,pre-3PT era; 3PA blank; pace GAP
