title,author,publisher,year,amazon_url,amazon_rating,amazon_reviews_count,goodreads_url,goodreads_rating,goodreads_ratings_count,price_band,price_as_of,lane,why_comparable,isbn13,format_notes,source_urls,confidence
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons (foreword Malcolm Gladwell),ESPN Books / Ballantine,2009,https://www.amazon.co.uk/s?k=The+Book+of+Basketball+Bill+Simmons,GAP,,https://www.goodreads.com/book/show/4452257-the-book-of-basketball,4.20,38724,varies — Waterstones pb/hc snippets ~£15–21 (retailer; not Amazon),2026-09-19,narrative,Seed: the fan-intellectual NBA history/argument bible Glen’s desk is measured against — maximal Simmons voice vs Taylor’s cognitive-analytics and Greene’s interdisciplinary watch-guide.,9780345511768,hardcover (2009); paperback updated reprint ISBN 9780345520104; Kindle,https://www.goodreads.com/book/show/4452257-the-book-of-basketball; https://en.wikipedia.org/wiki/The_Book_of_Basketball; https://www.waterstones.com/book/the-book-of-basketball/bill-simmons/9780345520104,HIGH
Thinking Basketball,Ben Taylor,CreateSpace Independent Publishing Platform,2016,https://www.amazon.com/Thinking-Basketball-Ben-Taylor/dp/1532968175,4.7,294,https://www.goodreads.com/book/show/31434537-thinking-basketball,4.16,645,varies — Amazon.com paperback listed (price not re-scraped live UK); ASIN 1532968175,2026-09-19,analytics,"Seed: cognitive-bias + possession-value primer that sits opposite Simmons’ anecdote-heavy Hall of Fame arguing — shorter, myth-busting, YouTube-adjacent analytics literacy.",9781532968174,paperback 180pp; Kindle also sold,https://www.goodreads.com/book/show/31434537-thinking-basketball; https://www.amazon.com/Thinking-Basketball-Ben-Taylor/dp/1532968175; https://thinkingbasketball.net/thinking-basketball/; https://books.google.com/books/about/Thinking_Basketball.html?id=GgWgDAEACAAJ,HIGH
"How to Watch Basketball Like a Genius: What Game Designers, Economists, Ballet Choreographers, and Theoretical Astrophysicists Reveal About the Greatest Game on Earth",Nick Greene,Abrams Press,2021,https://www.amazon.co.uk/s?k=How+to+Watch+Basketball+Like+a+Genius+Nick+Greene,GAP,,https://www.goodreads.com/book/show/54776112-how-to-watch-basketball-like-a-genius,3.76,1454,£8–15 pb (LoveReading UK £12.99 / £11.69; Abrams US list $18 pb),2026-09-19,how_to_watch,"Seed: verified Nick Greene (not a different author) — interdisciplinary ‘how to see the game’ adjacent to Simmons entertainment and Taylor analysis, lighter on box-score math.",9781419744815,hardcover Mar 2021; paperback Apr 2022 ISBN 9781419744815,https://www.goodreads.com/book/show/54776112-how-to-watch-basketball-like-a-genius; https://www.abramsbooks.com/product/how-to-watch-basketball-like-a-genius_9781419744815/; https://www.lovereading.co.uk/book/9781419744815/isbn/How-to-Watch-Basketball-Like-a-Genius-by-Nick-Greene.html; https://www.waterstones.com/book/how-to-watch-basketball-like-a-genius/nick-greene/9781419744815,HIGH
Basketball on Paper: Rules and Tools for Performance Analysis,Dean Oliver,Potomac Books (Nebraska Press),2004,https://www.amazon.co.uk/s?k=Basketball+on+Paper+Dean+Oliver,GAP,,https://www.goodreads.com/en/book/show/420949.Basketball_on_Paper,4.06,480,varies — publisher pb/ebook; no live Amazon price scraped,2026-09-19,analytics,"Foundational four-factors / per-possession bible — denser and more coach-facing than Thinking Basketball, the technical ancestor of modern ‘smart fan’ analytics books.",9781574886887,paperback 392pp; ebook ISBN 9781640123892 (2020),https://www.goodreads.com/en/book/show/420949.Basketball_on_Paper; https://www.nebraskapress.unl.edu/potomac-books/9781574886887/basketball-on-paper/,HIGH
Sprawlball: A Visual Tour of the New Era of the NBA,Kirk Goldsberry,Mariner Books / Houghton Mifflin Harcourt,2019,https://www.amazon.co.uk/Sprawlball-Visual-Tour-New-Era/dp/1328767515/,GAP,,https://www.goodreads.com/book/show/40796173-sprawlball,4.11,1735,varies — amazon.co.uk product URL known; live star/price GAP (blocked/unverified),2026-09-19,analytics,"Shot-chart visual analytics of the three-point era — sits with Thinking Basketball on ‘why the game looks like this,’ marketed explicitly for Simmons/FreeDarko readers.",9781328767516,illustrated hardcover 256pp; Kindle,https://www.goodreads.com/book/show/40796173-sprawlball; https://www.amazon.co.uk/Sprawlball-Visual-Tour-New-Era/dp/1328767515/; https://books.google.com/books/about/Sprawlball.html?id=mw2WDwAAQBAJ,HIGH
The Midrange Theory: Basketball's Evolution In the Age of Analytics,Seth Partnow,Triumph Books,2021,https://www.amazon.co.uk/s?k=The+Midrange+Theory+Seth+Partnow,GAP,,https://www.goodreads.com/book/show/57136758-the-midrange-theory,4.09,758,varies — Triumph trade paper list $18.95 US (publisher page),2026-09-19,analytics,"Team-side analytics literacy (draft/cap/RAPM context) — deeper front-office than Greene’s watch book, more applied than Oliver’s 2004 toolkit.",9781637270967,hardcover Nov 2021; trade paperback Oct 2022,https://www.goodreads.com/book/show/57136758-the-midrange-theory; https://www.triumphbooks.com/the-midrange-theory-products-9781637270967.php; https://www.amazon.com/Midrange-Theory-Seth-Partnow/dp/1629379212,HIGH
Seven Seconds or Less: My Season on the Bench with the Runnin' and Gunnin' Phoenix Suns,Jack McCallum,Simon & Schuster,2006,https://www.amazon.co.uk/s?k=Seven+Seconds+or+Less+McCallum,GAP,,https://www.goodreads.com/book/show/36675.Seven_Seconds_or_Less,4.04,4524,varies — used/new market; no live list price captured today,2026-09-19,narrative,"Embedded season chronicle of pace-and-space ancestors — narrative access like Simmons storytelling, documenting the offense that later analytics books explain.",9780743298117,hardcover; later paperbacks,https://www.goodreads.com/book/show/36675.Seven_Seconds_or_Less; https://www.abebooks.com/9780743298117/Seven-Seconds-Season-Bench-Runnin-074329811X/plp,HIGH
Eleven Rings: The Soul of Success,Phil Jackson; Hugh Delehanty,Penguin Press,2013,https://www.amazon.co.uk/s?k=Eleven+Rings+Phil+Jackson,GAP,,https://www.goodreads.com/book/show/16158522-eleven-rings,4.19,18987,varies — widely reprinted pb/Kindle; Amazon stars GAP today,2026-09-19,memoir,Last Dance–adjacent coach memoir (Bulls/Lakers) — leadership/triangle culture vs Simmons’ ranking essays or Taylor’s bias chapters; popular coaching popularization.,9781594205118,hardcover; paperback; audiobook,https://www.goodreads.com/book/show/16158522-eleven-rings; https://www.amazon.com/Eleven-Rings-The-Soul-Success/dp/1594205116,HIGH
Scorecasting: The Hidden Influences Behind How Sports Are Played and Games Are Won,Tobias J. Moskowitz; L. Jon Wertheim,Crown Archetype / Three Rivers Press,2011,https://www.amazon.co.uk/s?k=Scorecasting+Moskowitz,GAP,,https://www.goodreads.com/book/show/9379180-scorecasting,3.82,5852,varies — Penguin Random House pb ISBN 9780307591807; Amazon price GAP,2026-09-19,analytics,"Multi-sport Moneyball-adjacent behavioral econ (home refs, clutch myths) — shares Thinking Basketball’s bias-debunking lane, less basketball-only than Oliver/Goldsberry.",9780307591807,hardcover 2011; paperback 2012,https://www.goodreads.com/book/show/9379180-scorecasting; https://www.penguinrandomhouse.com/books/201130/scorecasting-by-tobias-j-moskowitz-and-l-jon-wertheim/,HIGH
The Victory Machine: The Making and Unmaking of the Warriors Dynasty,Ethan Sherwood Strauss,PublicAffairs / Hachette,2020,https://www.amazon.co.uk/s?k=The+Victory+Machine+Strauss,GAP,,https://www.goodreads.com/book/show/51720347-the-victory-machine,3.73,1706,varies — Hachette pb 9781541736221; Amazon price GAP,2026-09-19,narrative,Modern dynasty reportage (Warriors FO/KD era) — journalistic narrative companion to Sprawlball’s on-court analytics of the same revolution.,9781541736221,hardcover; paperback 2021,https://www.goodreads.com/book/show/51720347-the-victory-machine; https://www.hachettebookgroup.com/titles/ethan-sherwood-strauss/the-victory-machine/9781541736221/; https://www.amazon.com/Victory-Machine-Unmaking-Warriors-Dynasty/dp/1541736230,HIGH
