season,category,value,unit,currency,source_url,as_of,confidence,notes
2016-17–2024-25,national_media_rights_partners,ABC/ESPN; TNT/Turner,text,,https://pr.nba.com/nba-partnerships-walt-disney-company-turner-broadcasting-system/,2026-09-19,HIGH,OFFICIAL NBA Communications 2014-10-06: nine-year agreements; telecasts 2016-17 through 2024-25. No contract dollars in this release.
2016-17–2024-25,national_media_rights_total_contract,24000000000,USD,USD,https://www.si.com/nba/2014/10/06/new-nba-tv-deal-worth-24-billion,2026-09-19,MEDIUM,SECONDARY Sports Illustrated 2014-10-06: nine-year ~$24B ESPN/TNT. Official PR confirms partners/term only. From league-income pack.
2016-17–2024-25,national_media_rights_annual_avg,2600000000,USD_per_year,USD,https://www.si.com/nba/2014/10/06/new-nba-tv-deal-worth-24-billion,2026-09-19,MEDIUM,SECONDARY SI: AAV 'more than $2.6 billion'. Not audited annual receipt.
2025-26–2035-36,national_media_rights_partners,ABC/ESPN (Disney); NBC/Peacock (NBCUniversal); Prime Video (Amazon),text,,https://www.nba.com/news/nba-media-agreements-2024,2026-09-19,HIGH,OFFICIAL NBA.com 2024-07-24: 11-year agreements beginning 2025-26. Official release does not publish package dollars.
2025-26–2035-36,national_media_rights_total_contract,77000000000,USD,USD,https://www.cnbc.com/2024/07/24/nba-picks-amazon-for-media-rights-over-warner-bros-discovery.html,2026-09-19,MEDIUM,SECONDARY CNBC: 'about $77 billion' over 11 years. Sportico and others cite ~$76B — do not average. May include concurrent WNBA in some tallies.
2025-26–2035-36,national_media_rights_total_contract_alt,76000000000,USD,USD,https://www.sportico.com/leagues/basketball/2025/nba-revenue-projected-2025-26-season-1234876505/,2026-09-19,MEDIUM,SECONDARY Sportico framing of 11-year $76B. Alternate to CNBC ~$77B; keep both rows.
2025-26–2035-36,national_media_rights_annual_avg,6900000000,USD_per_year,USD,https://www.sportico.com/leagues/basketball/2025/nba-revenue-projected-2025-26-season-1234876505/,2026-09-19,MEDIUM,DERIVED framing ~$76B/11 ≈ $6.9B/yr as commonly cited; not official AAV. Escalators mean early ≠ late years.
2025-26–2035-36,national_media_partner_annual_disney,2620000000,USD_per_year,USD,https://www.cnbc.com/2024/07/24/nba-picks-amazon-for-media-rights-over-warner-bros-discovery.html,2026-09-19,MEDIUM,SECONDARY CNBC citing people familiar. Not in official NBA release.
2025-26–2035-36,national_media_partner_annual_nbcu,2450000000,USD_per_year,USD,https://www.cnbc.com/2024/07/24/nba-picks-amazon-for-media-rights-over-warner-bros-discovery.html,2026-09-19,MEDIUM,SECONDARY CNBC citing people familiar.
2025-26–2035-36,national_media_partner_annual_amazon,1800000000,USD_per_year,USD,https://www.cnbc.com/2024/07/24/nba-picks-amazon-for-media-rights-over-warner-bros-discovery.html,2026-09-19,MEDIUM,SECONDARY CNBC ~$1.8B/yr; some later reports ~$1.9B — leave as published $1.8B from this piece.
2024-25,national_tv_revenue_per_team,103000000,USD_per_team,USD,https://www.sportico.com/leagues/basketball/2025/nba-revenue-projected-2025-26-season-1234876505/,2026-09-19,MEDIUM,SECONDARY Sportico comparison baseline.
2025-26,national_tv_revenue_per_team,143000000,USD_per_team,USD,https://www.sportico.com/leagues/basketball/2025/nba-revenue-projected-2025-26-season-1234876505/,2026-09-19,MEDIUM,SECONDARY Sportico; league declined to comment on projections in that article.
2025-26,national_ad_sales_full_season_estimate,2100000000,USD,USD,https://www.sportico.com/business/media/2026/nba-ad-sales-media-rights-deal-tv-1234942133/,2026-09-19,MEDIUM,SECONDARY Sportico (Guideline data): ~$2.1B national ad sales in first season of new rights deals. Advertiser→network money — NOT rights fees. Paywall possible; re-read before table use.
2025-26,national_ad_spend_regular_season_estimate,760000000,USD,USD,https://www.mediapost.com/publications/article/414480/nba-2025-26-video-ad-revenue-hits-760m-viewing-u.html?edition=142360,2026-09-19,MEDIUM,SECONDARY MediaPost reporting iSpot.tv estimates for 2025-26 regular-season national TV/streaming ad revenue. Different window than Sportico full-season figure — do not reconcile by invention.
,local_media_revenue_leaguewide,,USD,USD,,2026-09-19,GAP,MISSING: no responsible leaguewide RSN/local streaming fee table. Team anecdotes exist in Sportico but are not a consistent series.
,courtside_led_rate_card_leaguewide,,USD,USD,,2026-09-19,GAP,MISSING: no official leaguewide LED rate card. Agency marketing ranges exist but are UNCONFIRMED for binder facts.
,sponsored_moments_inventory_count_leaguewide,,count,,,2026-09-19,GAP,MISSING: 'Sponsored Moments' is a writer taxonomy (entitlements + augmented overlays); no single public inventory ledger or fee rollup.
,network_sellable_unit_inventory,,units,,,2026-09-19,GAP,MISSING: sellable units; unsold; makegoods; rate cards are private to networks/streamers.
,sponsorship_rights_vs_media_buy_official_split,,USD,USD,,2026-09-19,GAP,MISSING: no NBA-audited annual table separating rights fees; ad sales; sponsorship; activation; endorsement.
