year,row_type,requests_for_arbitration_filed,cases_pending,leading_to_award_or_to_for_lack_of_jurisdiction,settled_including_consent_award,deemed_withdrawn_not_including_settlements,appeals_before_cas,appeals_before_sft,low_value_cases,source_url_requested,source_url_used,source_index_url,as_of,confidence,notes
2007,annual,2,0,2,0,0,0,0,0,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2008,annual,25,0,19,5,1,5,0,4,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2009,annual,45,0,32,9,4,7,0,4,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2010,annual,80,0,63,11,6,5,0,25,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2011,annual,91,0,69,19,3,1,3,37,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2012,annual,115,0,83,26,6,5,0,43,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2013,annual,142,0,102,32,8,3,0,61,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2014,annual,143,0,113,19,11,0,0,54,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2015,annual,150,0,127,18,5,0,0,54,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2016,annual,161,0,130,23,8,3,3,56,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2017,annual,188,0,141,42,5,3,1,75,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2018,annual,186,0,128,51,7,1,0,62,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2019,annual,146,0,114,29,3,2,0,68,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2020,annual,170,0,132,35,3,1,1,81,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2021,annual,124,0,96,27,1,0,0,67,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
2022,annual,136,0,101,31,1,0,1,75,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table). Focal year for draft cite; cumulative requests 2007–2022 = 1904 (matches Elite Law / secondary cites of retired 2022 PDF).
2023,annual,172,0,131,36,2,0,1,108,https://www.fiba.basketball/bat-statistics-2022.pdf,https://assets.fiba.basketball/image/upload/documents-corporate-bat-bat-statistics.pdf,https://about.fiba.basketball/en/services/basketball-arbitral-tribunal/bat-process,2026-09-19,HIGH,Transcribed from FIBA BAT Statistics PDF (BAT Arbitration Proceedings table).
