season_end_year,season_label,decade,metric,position,value_display,value_numeric,unit,source_url,as_of,confidence,notes
1947,1946-47,1940s,avg_height_league,,6'2.13'',74.13,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1948,1947-48,1940s,avg_height_league,,6'2.51'',74.51,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1949,1948-49,1940s,avg_height_league,,6'3.20'',75.2,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1950,1949-50,1950s,avg_height_league,,6'3.64'',75.64,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1951,1950-51,1950s,avg_height_league,,6'4.12'',76.12,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1952,1951-52,1950s,avg_height_league,,6'4.16'',76.16,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1953,1952-53,1950s,avg_height_league,,6'3.72'',75.72,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1954,1953-54,1950s,avg_height_league,,6'4.15'',76.15,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1955,1954-55,1950s,avg_height_league,,6'4.34'',76.34,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1956,1955-56,1950s,avg_height_league,,6'4.97'',76.97,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1957,1956-57,1950s,avg_height_league,,6'4.98'',76.98,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1958,1957-58,1950s,avg_height_league,,6'5.24'',77.24,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1959,1958-59,1950s,avg_height_league,,6'4.94'',76.94,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1960,1959-60,1960s,avg_height_league,,6'5.16'',77.16,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1961,1960-61,1960s,avg_height_league,,6'5.32'',77.32,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1962,1961-62,1960s,avg_height_league,,6'5.12'',77.12,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1963,1962-63,1960s,avg_height_league,,6'5.53'',77.53,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1964,1963-64,1960s,avg_height_league,,6'5.49'',77.49,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1965,1964-65,1960s,avg_height_league,,6'5.62'',77.62,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1966,1965-66,1960s,avg_height_league,,6'5.42'',77.42,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1967,1966-67,1960s,avg_height_league,,6'5.71'',77.71,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1968,1967-68,1960s,avg_height_league,,6'5.57'',77.57,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1969,1968-69,1960s,avg_height_league,,6'5.67'',77.67,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1970,1969-70,1970s,avg_height_league,,6'5.68'',77.68,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1971,1970-71,1970s,avg_height_league,,6'5.74'',77.74,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1972,1971-72,1970s,avg_height_league,,6'5.80'',77.8,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1973,1972-73,1970s,avg_height_league,,6'5.88'',77.88,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1974,1973-74,1970s,avg_height_league,,6'5.83'',77.83,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1975,1974-75,1970s,avg_height_league,,6'5.93'',77.93,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1976,1975-76,1970s,avg_height_league,,6'6.11'',78.11,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1977,1976-77,1970s,avg_height_league,,6'6.05'',78.05,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1978,1977-78,1970s,avg_height_league,,6'6.08'',78.08,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1979,1978-79,1970s,avg_height_league,,6'6.18'',78.18,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1980,1979-80,1980s,avg_height_league,,6'6.33'',78.33,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1981,1980-81,1980s,avg_height_league,,6'6.38'',78.38,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1982,1981-82,1980s,avg_height_league,,6'6.57'',78.57,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1983,1982-83,1980s,avg_height_league,,6'6.81'',78.81,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1984,1983-84,1980s,avg_height_league,,6'6.76'',78.76,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1985,1984-85,1980s,avg_height_league,,6'6.82'',78.82,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1986,1985-86,1980s,avg_height_league,,6'7.03'',79.03,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1987,1986-87,1980s,avg_height_league,,6'7.04'',79.04,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
