metric,value,source_url,as_of,confidence,notes
playoffs_2024_total_games,82,https://www.basketball-reference.com/playoffs/NBA_2024.html,2026-09-19,HIGH,"SECONDARY (BRef schedule/results). Count of listed 2024 NBA playoff games (first round through Finals). Re-counted from series tables on access date: 15 series totaling 82 games."
playoffs_2024_home_wins,48,https://www.basketball-reference.com/playoffs/NBA_2024.html,2026-09-19,HIGH,"SECONDARY (BRef). Home = team after @ in BRef game lines. Winner = higher final score. Independent recount on 2026-09-19: 48 home wins."
playoffs_2024_home_losses,34,https://www.basketball-reference.com/playoffs/NBA_2024.html,2026-09-19,HIGH,"SECONDARY (BRef). Companion to home_wins; 82 − 48 = 34. Away teams won 34 of 82."
playoffs_2024_home_win_pct,0.5854,https://www.basketball-reference.com/playoffs/NBA_2024.html,2026-09-19,HIGH,"DERIVED: 48/82 = 0.585365… reported as 0.5854 (58.54%). Round to ~58.5% in prose. Does not support an 'evaporated' claim."
playoffs_2024_home_record_wl,48-34,https://www.basketball-reference.com/playoffs/NBA_2024.html,2026-09-19,HIGH,"SECONDARY (BRef). Canonical W–L string for manuscript/table use."
playoffs_2024_r1_game1_home_record,8-0,https://www.espn.co.uk/nba/insider/story/_/id/40018981/2024-nba-playoffs-real-not-siakam-brunson-scoring,2026-09-19,HIGH,"SECONDARY ESPN Insider (Kevin Pelton; published 2024-04-25): home teams went 8–0 in first-round Game 1s — fifth such sweep in the 16-team playoff era. Independently consistent with BRef first-round Game 1 lines on NBA_2024.html."
playoffs_recent_r1_home_win_pct_arena,~0.58,https://www.espn.co.uk/nba/insider/story/_/id/40018981/2024-nba-playoffs-real-not-siakam-brunson-scoring,2026-09-19,MEDIUM,"SECONDARY ESPN Insider: over the past four playoffs played in NBA arenas; home teams won just 58% of Round 1 games (article wording). Approximate; not a full-playoffs figure. Article contrasts with 2020 bubble R1 'home' 59.5% on neutral courts."
regular_season_2023_24_home_wins,668,https://www.foxsports.com/articles/nba/inside-the-nba-numbers-lots-of-comebacks-no-homecourt-edge-3s-went-up-scoring-went-down,2026-09-19,MEDIUM,"SECONDARY Fox Sports reprint of AP season-numbers piece (updated 2024-04-14): 'NBA teams went 668-562 at home this season.' Not an NBA Communications release."
regular_season_2023_24_home_losses,562,https://www.foxsports.com/articles/nba/inside-the-nba-numbers-lots-of-comebacks-no-homecourt-edge-3s-went-up-scoring-went-down,2026-09-19,MEDIUM,SECONDARY Fox/AP. Companion to home_wins (668+562=1230 ranked games in that tally).
regular_season_2023_24_home_win_pct,0.5431,https://www.foxsports.com/articles/nba/inside-the-nba-numbers-lots-of-comebacks-no-homecourt-edge-3s-went-up-scoring-went-down,2026-09-19,MEDIUM,"SECONDARY Fox/AP: winning percentage .5431; called 'the worst home-court mark in league history' and 'barely back of the .5435 percentage set in 2020-21.' Optional regular-season comparison for Scrivener hedge — not a playoff figure."
regular_season_2023_24_home_record_wl,668-562,https://www.foxsports.com/articles/nba/inside-the-nba-numbers-lots-of-comebacks-no-homecourt-edge-3s-went-up-scoring-went-down,2026-09-19,MEDIUM,SECONDARY Fox/AP. Canonical W–L string for RS comparison row.
