season,season_split,referee,role,gender,experience_years,games_officiated,home_team_win_pct,home_team_points_differential,total_points_per_game,called_fouls_per_game,foul_pct_against_road,foul_pct_against_home,foul_differential_road_minus_home,source_url,as_of,confidence,data_quality_notes
2023-24,regular_season,Jacyn Goble,CREW,MALE,8,63,0.571,3.4,230,37.8,0.499,0.5,0,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Ray Acosta,CREW,MALE,7,65,0.508,2.2,226.3,36.5,0.495,0.505,-0.4,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Natalie Sago,CREW,FEMALE,6,64,0.547,2.5,224.9,36.4,0.506,0.495,0.4,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Aaron Smith,CREW,MALE,9,63,0.667,4,225.2,37,0.498,0.502,-0.1,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Justin Van Duyne,CREW,MALE,11,62,0.468,-0.2,226,37.3,0.509,0.489,0.7,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Gediminas Petraitis,CREW,MALE,10,60,0.45,-0.4,227.4,37,0.509,0.49,0.7,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Dedric Taylor,CREW,MALE,11,60,0.483,1.7,227.8,37.5,0.501,0.498,0.1,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Scott Foster,CHIEF,MALE,30,60,0.683,7.7,229.8,39.3,0.506,0.494,0.5,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Tony Brothers,CHIEF,MALE,30,60,0.55,1.8,227.2,37.2,0.496,0.505,-0.4,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Scott Twardoski,CREW,MALE,15,57,0.667,4.1,233.2,37.9,0.51,0.49,0.8,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Ashley Moyer-Gleich,CREW,FEMALE,6,57,0.456,-1.3,227.6,37.4,0.506,0.493,0.5,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,JB DeRosa,CHIEF,MALE,7,58,0.569,3.6,224.9,37.6,0.505,0.494,0.4,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,John Butler,CREW,MALE,6,55,0.564,3.1,230.4,36.9,0.495,0.507,-0.4,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Phenizee Ransom,CREW,MALE,8,55,0.4,1.1,231.2,38.5,0.499,0.5,-0.1,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Sean Corbin,CHIEF,MALE,31,55,0.455,0,230.6,36.4,0.511,0.489,0.8,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Tyler Ford,CREW,MALE,10,52,0.558,3.3,225.7,37.6,0.507,0.494,0.5,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
2023-24,regular_season,Mitchell Ervin,CREW,MALE,10,50,0.48,0.5,231.2,39.6,0.505,0.495,0.4,https://www.nbastuffer.com/2023-2024-nba-referee-stats/,2026-09-19,HIGH,
