abbr,team,n_staff_heading,n_staff_current_parsed,has_analytics_dept_listed,source,source_url,access_date,confidence,notes
ATL,Atlanta Hawks,4,4,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
BKN,Brooklyn Nets,6,6,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
BOS,Boston Celtics,8,8,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
CHA,Charlotte Hornets,7,7,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
CHI,Chicago Bulls,4,4,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
CLE,Cleveland Cavaliers,6,6,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
DAL,Dallas Mavericks,5,5,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
DEN,Denver Nuggets,4,4,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
DET,Detroit Pistons,3,3,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
GSW,Golden State Warriors,6,6,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
HOU,Houston Rockets,5,5,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
IND,Indiana Pacers,3,3,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
LAC,Los Angeles Clippers,5,5,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
LAL,Los Angeles Lakers,8,8,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
MEM,Memphis Grizzlies,4,4,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
MIA,Miami Heat,5,5,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
MIL,Milwaukee Bucks,6,6,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
MIN,Minnesota Timberwolves,2,2,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
NOP,New Orleans Pelicans,1,1,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
NYK,New York Knicks,9,9,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
OKC,Oklahoma City Thunder,13,13,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
ORL,Orlando Magic,4,4,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
PHI,Philadelphia 76ers,3,3,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
PHX,Phoenix Suns,4,4,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
POR,Portland Trail Blazers,2,2,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
SAC,Sacramento Kings,3,3,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
SAS,San Antonio Spurs,6,6,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
TOR,Toronto Raptors,3,3,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
UTA,Utah Jazz,4,4,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
WAS,Washington Wizards,5,5,yes,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM,Third-party directory (not NBA official). Use heading count as page claim; parsed Current rows may differ if page markup lags.
