abbr,team,name,position,last_updated,status,source,source_url,access_date,confidence
ATL,Atlanta Hawks,Samuel Radack,Senior Data Scientist,7-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
ATL,Atlanta Hawks,Dwight Lutz,"Vice President, Basketball Strategy and Analytics",4-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
ATL,Atlanta Hawks,Sergi Oliva,Coaching Strategy & Development Advisor,9-11-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
ATL,Atlanta Hawks,Nick Restifo,Director Of Basketball Research,4-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
BOS,Boston Celtics,Adrià Arbués Sangüesa,Data Scientist,8-4-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
BOS,Boston Celtics,Chris Bubernak,Software Engineer,8-4-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
BOS,Boston Celtics,Maria Guramare,Data Scientist,8-4-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
BOS,Boston Celtics,Mike Zarren,Assistant General Manager & Team Counsel,8-20-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
BOS,Boston Celtics,Dave Lewin,Assistant GM,8-20-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
BOS,Boston Celtics,David Sparks,Director of Basketball Analytics,8-20-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
