team,role,name,title,source_url,as_of,confidence
Atlanta Hawks,ownership,Tony Ressler,Principal Owner and Governor,https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,ownership,Jami Gertz,Principal Owner,https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,ownership,Grant Hill,Minority Owner,https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,president,Steve Koonin,"President and Chief Executive Officer, Atlanta Hawks and State Farm Arena",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,president,Onsi Saleh,President of Basketball Operations,https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,basketball_ops,Peter Dinwiddie,"Executive Vice President, Basketball Operations",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,basketball_ops,Kyle Korver,Assistant General Manager,https://basketball.realgm.com/nba/teams/Atlanta-Hawks/1/staff-members/Current/grid,2026-09-19,medium
Atlanta Hawks,basketball_ops,Michelle Leftwich,"Senior Vice President, Team & League Compliance",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,basketball_ops,Dan Martinez,"Senior Vice President, Team Operations",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,analytics,Dwight Lutz,"Vice President, Basketball Strategy & Analytics",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,scouting,Tori Miller,"Vice President, Player Personnel & Basketball Intelligence",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,basketball_ops,Ryan Silverstein,"Vice President, Cap Strategy & Player Personnel",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,scouting,Daniel Starkman,"Vice President, Player Personnel",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,basketball_ops,Tim Bontemps,Strategic Advisor,https://www.nba.com/news/hawks-announce-front-office-moves,2026-09-19,high
Atlanta Hawks,basketball_ops,Maxwell Kupchak,Director of Cap Strategy & Player Personnel,https://www.nba.com/news/hawks-announce-front-office-moves,2026-09-19,high
Atlanta Hawks,analytics,Nick Restifo,Director Of Basketball Research,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Atlanta Hawks,analytics,Samuel Radack,Senior Data Scientist,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Atlanta Hawks,analytics,Sergi Oliva,Coaching Strategy & Development Advisor,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Atlanta Hawks,medical,Chelsea Lane,Vice President of Athletic Performance and Sports Medicine,https://basketball.realgm.com/nba/teams/Atlanta-Hawks/1/staff-members/Current/grid,2026-09-19,medium
Atlanta Hawks,coaching,Quin Snyder,Head Coach,https://basketball.realgm.com/nba/teams/Atlanta-Hawks/1/staff-members/Current/grid,2026-09-19,medium
Atlanta Hawks,business,Joel Browning,"Executive Vice President, Chief Financial Officer",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,business,Andrew Saltzman,"President of Business Enterprise, Chief Commercial Officer",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,business,Melissa Proctor,"Executive Vice President, Chief Marketing Officer",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,business,Scott Wilkinson,"Executive Vice President, Chief Legal Officer",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,business,Garin Narain,"Executive Vice President, Chief Communications Officer",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,business,Bryan Fogg,"Senior Vice President, Chief Data and Insights Officer",https://www.nba.com/hawks/staff-directory,2026-09-19,high
Atlanta Hawks,business,Nick Ressler,"Vice President, Strategic Planning, & Alternate Governor",https://www.nba.com/hawks/staff-directory,2026-09-19,high
