team,role,name,title,source_url,as_of,confidence
Boston Celtics,ownership,Bill Chisholm,Majority Owner / Governor,https://frontofficesports.com/celtics-ownership-bill-chisholm-closed/,2026-09-19,high
Boston Celtics,ownership,Wyc Grousbeck,CEO / Alternate Governor,https://frontofficesports.com/celtics-ownership-bill-chisholm-closed/,2026-09-19,high
Boston Celtics,president,Brad Stevens,President of Basketball Operations,https://www.salaryswish.com/teams/staff/celtics,2026-09-19,high
Boston Celtics,basketball_ops,Mike Zarren,Assistant General Manager & Team Counsel,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Boston Celtics,basketball_ops,Dave Lewin,Assistant GM,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Boston Celtics,analytics,David Sparks,Director of Basketball Analytics,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Boston Celtics,analytics,Adrià Arbués Sangüesa,Data Scientist,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Boston Celtics,analytics,Maria Guramare,Data Scientist,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Boston Celtics,analytics,Chris Bubernak,Software Engineer,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Boston Celtics,analytics,Drew Cannon,Basketball Operations Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Boston Celtics,analytics,Luigi Sorbara,Basketball Statistician,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Boston Celtics,scouting,Remy Cofield,"Director, Scouting & General Manager, Maine Celtics",https://theorg.com/org/boston-celtics/teams/basketball-operations,2026-09-19,low
Boston Celtics,basketball_ops,Frank Burke,"Director, Basketball Administration",https://theorg.com/org/boston-celtics/teams/basketball-operations,2026-09-19,low
Boston Celtics,coaching,Joe Mazzulla,Head Coach,https://www.nba.com/celtics/team/coaching-staff,2026-09-19,high
Boston Celtics,coaching,Sam Cassell,Assistant Coach,https://www.nba.com/celtics/team/coaching-staff,2026-09-19,high
Boston Celtics,coaching,Tony Dobbins,Assistant Coach,https://www.nba.com/celtics/team/coaching-staff,2026-09-19,high
Boston Celtics,coaching,DJ MacLeay,Assistant Coach,https://www.nba.com/celtics/team/coaching-staff,2026-09-19,high
Boston Celtics,coaching,Amile Jefferson,Assistant Coach,https://www.nba.com/celtics/team/coaching-staff,2026-09-19,high
Boston Celtics,coaching,Matt Reynolds,Assistant Coach,https://www.nba.com/celtics/team/coaching-staff,2026-09-19,high
Boston Celtics,coaching,Ross McMains,Assistant Coach,https://www.nba.com/celtics/team/coaching-staff,2026-09-19,high
Boston Celtics,coaching,Tyler Lashbrook,Assistant Coach,https://www.nba.com/celtics/team/coaching-staff,2026-09-19,high
Boston Celtics,coaching,Craig Luschenat,Director of Player Development,https://www.nba.com/celtics/team/coaching-staff,2026-09-19,high
Boston Celtics,business,Rich Gotham,Team President,https://basketball.realgm.com/nba/teams/Boston-Celtics/2/staff-members,2026-09-19,medium
