team,role,name,title,source_url,as_of,confidence
Charlotte Hornets,ownership,Rick Schnall,Co-Chairman & Governor,https://www.nba.com/hornets/front-office,2026-09-19,high
Charlotte Hornets,ownership,Gabe Plotkin,Co-Chairman & Alternate Governor,https://www.nba.com/hornets/front-office,2026-09-19,high
Charlotte Hornets,ownership,Michael Jordan,Minority Investor / Alternate Governor,https://www.nba.com/hornets/front-office,2026-09-19,high
Charlotte Hornets,business,Shelly Cayette-Weston,President of Business Operations,https://www.nba.com/hornets/front-office,2026-09-19,high
Charlotte Hornets,business,Travis Ferguson,Chief Financial Officer,https://basketball.realgm.com/nba/teams/Charlotte-Hornets/3/Rosters/Regular/2026,2026-09-19,medium
Charlotte Hornets,president,Jeff Peterson,President of Basketball Operations,https://www.basketball-reference.com/teams/CHA/executives.html,2026-09-19,high
Charlotte Hornets,basketball_ops,Dotun Akinwale,Assistant General Manager,https://www.wbtv.com/2024/05/16/charlotte-hornets-announce-additions-front-office/,2026-09-19,high
Charlotte Hornets,basketball_ops,Ryan Gisriel,Vice President of Basketball Operations & Strategy,https://www.wbtv.com/2024/05/16/charlotte-hornets-announce-additions-front-office/,2026-09-19,high
Charlotte Hornets,basketball_ops,Buzz Peterson,Senior VP of Basketball Operations / Assistant General Manager,https://basketball.realgm.com/nba/teams/Charlotte-Hornets/3/Rosters/Regular/2026,2026-09-19,medium
Charlotte Hornets,basketball_ops,David Duquette,Assistant General Manager,https://basketball.realgm.com/nba/teams/Charlotte-Hornets/3/Rosters/Regular/2026,2026-09-19,medium
Charlotte Hornets,basketball_ops,Larry Jordan,VP of Player Personnel,https://basketball.realgm.com/nba/teams/Charlotte-Hornets/3/Rosters/Regular/2026,2026-09-19,medium
Charlotte Hornets,analytics,Patrick Harrel,"VP, Basketball Insights & Analysis",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Charlotte Hornets,analytics,Michaela Roberts,Director of Basketball Systems,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Charlotte Hornets,analytics,Dor Morag,Senior Data Scientist,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Charlotte Hornets,analytics,Gaurav Mohan,Data Scientist,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Charlotte Hornets,scouting,Jakub Kudlacek,Director of International Scouting,https://basketball.realgm.com/nba/teams/Charlotte-Hornets/3/Rosters/Regular/2026,2026-09-19,medium
Charlotte Hornets,scouting,Miles Abbett,Pro Scout,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Charlotte Hornets,coaching,Charles Lee,Head Coach,https://basketball.realgm.com/nba/teams/Charlotte-Hornets/3/Rosters/Regular/2026,2026-09-19,high
Charlotte Hornets,coaching,Josh Longstaff,Assistant Coach,https://basketball.realgm.com/nba/teams/Charlotte-Hornets/3/Rosters/Regular/2026,2026-09-19,medium
Charlotte Hornets,coaching,Kyle Neptune,Assistant Coach,https://basketball.realgm.com/nba/teams/Charlotte-Hornets/3/Rosters/Regular/2026,2026-09-19,medium
Charlotte Hornets,medical,Peter Elliott,Head Athletic Trainer,https://basketball.realgm.com/nba/teams/Charlotte-Hornets/3/Rosters/Regular/2026,2026-09-19,medium
Charlotte Hornets,medical,Trent Salo,Vice President of Player Health & Performance,https://www.nba.com/hornets/news/one-year-later-schnall-plotkin-and-hornets-ready-for-tipoff,2026-09-19,medium
Charlotte Hornets,medical,Joe Sharpe,Director of Sports Performance,https://basketball.realgm.com/nba/teams/Charlotte-Hornets/3/Rosters/Regular/2026,2026-09-19,medium
