team,role,name,title,source_url,as_of,confidence
Chicago Bulls,ownership,Jerry Reinsdorf,Chairman / Owner,https://www.nba.com/bulls/chicago-bulls-staff-directory,2026-09-19,high
Chicago Bulls,president,Michael Reinsdorf,President & Chief Executive Officer,https://www.nba.com/bulls/chicago-bulls-staff-directory,2026-09-19,high
Chicago Bulls,basketball_ops,Bryson Graham,Executive Vice President – Basketball Operations,https://bulls.com/news/bulls-name-bryson-graham-executive-vice-president-basketball-operations,2026-09-19,high
Chicago Bulls,basketball_ops,Stephen Mervis,Senior Vice President of Basketball Operations,https://apnews.com/article/bulls-mervis-law-graham-35c04b445615457c6244e70ee985110c,2026-09-19,high
Chicago Bulls,scouting,Acie Law IV,Vice President of Player Personnel,https://apnews.com/article/bulls-mervis-law-graham-35c04b445615457c6244e70ee985110c,2026-09-19,high
Chicago Bulls,basketball_ops,Pat Connelly,Assistant General Manager,https://basketball.realgm.com/nba/teams/Chicago-Bulls/4/staff-members/Current/grid,2026-09-19,medium
Chicago Bulls,basketball_ops,J.J. Polk,Assistant General Manager,https://basketball.realgm.com/nba/teams/Chicago-Bulls/4/staff-members/Current/grid,2026-09-19,medium
Chicago Bulls,basketball_ops,John Paxson,Senior Advisor of Basketball Operations,https://basketball.realgm.com/nba/teams/Chicago-Bulls/4/staff-members/Current/grid,2026-09-19,medium
Chicago Bulls,scouting,Ivica Dukan,Director of International Scouting,https://basketball.realgm.com/nba/teams/Chicago-Bulls/4/staff-members/Current/grid,2026-09-19,medium
Chicago Bulls,analytics,Faizan Hasnany,"Executive Director, Basketball Strategy & Analytics",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Chicago Bulls,analytics,Burak Can Koc,Director of Basketball Research & Development,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Chicago Bulls,analytics,Tirdod Behbehani,"Senior Manager, Data Science",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Chicago Bulls,analytics,Jackson Hett,"Coordinator, Basketball Analytics",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Chicago Bulls,medical,Chip Schaefer,Director of Sports Performance,https://basketball.realgm.com/nba/teams/Chicago-Bulls/4/staff-members/Current/grid,2026-09-19,medium
Chicago Bulls,coaching,Tiago Splitter,Head Coach,https://www.nba.com/news/chicago-bulls-finalize-coaching-staff-2026-27,2026-09-19,high
Chicago Bulls,coaching,Wes Unseld Jr.,Assistant Coach,https://www.nba.com/news/chicago-bulls-finalize-coaching-staff-2026-27,2026-09-19,high
Chicago Bulls,business,Steve Schanwald,Executive Vice President of Business Operations,https://basketball.realgm.com/nba/teams/Chicago-Bulls/4/staff-members/Current/grid,2026-09-19,medium
Chicago Bulls,business,Ram Padmanabhan,General Counsel,https://basketball.realgm.com/nba/teams/Chicago-Bulls/4/staff-members/Current/grid,2026-09-19,medium
