team,role,name,title,source_url,as_of,confidence
Cleveland Cavaliers,ownership,Dan Gilbert,Majority Owner / Chairman,https://www.nba.com/cavaliers/team/leadership-bios,2026-09-19,medium
Cleveland Cavaliers,president,Koby Altman,President of Basketball Operations,https://www.nba.com/news/cleveland-cavaliers-brandon-weems-general-manager,2026-09-19,high
Cleveland Cavaliers,gm,Brandon Weems,General Manager,https://www.nba.com/news/cleveland-cavaliers-brandon-weems-general-manager,2026-09-19,high
Cleveland Cavaliers,basketball_ops,Jon Nichols,Associate General Manager,https://www.news5cleveland.com/sports/basketball/cavaliers/cavs-promote-akron-native-brandon-weems-to-gm-make-other-front-office-moves,2026-09-19,high
Cleveland Cavaliers,basketball_ops,Brendon Yu,Assistant General Manager,https://www.news5cleveland.com/sports/basketball/cavaliers/cavs-promote-akron-native-brandon-weems-to-gm-make-other-front-office-moves,2026-09-19,high
Cleveland Cavaliers,basketball_ops,José Calderón,Assistant General Manager,https://www.news5cleveland.com/sports/basketball/cavaliers/cavs-promote-akron-native-brandon-weems-to-gm-make-other-front-office-moves,2026-09-19,high
Cleveland Cavaliers,analytics,Dashiell Flynn,Chief Technology Officer of Basketball Operations,https://www.news5cleveland.com/sports/basketball/cavaliers/cavs-promote-akron-native-brandon-weems-to-gm-make-other-front-office-moves,2026-09-19,high
Cleveland Cavaliers,analytics,Max Weisberg,Senior Director of Basketball Strategy,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Cleveland Cavaliers,analytics,Brad Havens,Director of Basketball Systems,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Cleveland Cavaliers,analytics,Austin Peterson,Director of Coaching Analytics,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Cleveland Cavaliers,analytics,Corey Jones,Player Development Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Cleveland Cavaliers,analytics,Rishi Chandran,Basketball Operations Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Cleveland Cavaliers,coaching,Kenny Atkinson,Head Coach,https://www.nba.com/cavaliers,2026-09-19,medium
Cleveland Cavaliers,business,Len Komoroski,CEO,https://www.nba.com/cavaliers/team/leadership-bios,2026-09-19,medium
