team,role,name,title,source_url,as_of,confidence
Dallas Mavericks,ownership,Patrick Dumont,Governor,https://basketball.realgm.com/nba/teams/Dallas-Mavericks/6/Rosters/Regular/2026,2026-09-19,high
Dallas Mavericks,business,Cynthia Marshall,Chief Executive Officer,https://basketball.realgm.com/nba/teams/Dallas-Mavericks/6/Rosters/Regular/2026,2026-09-19,high
Dallas Mavericks,president,Masai Ujiri,Team President,https://www.basketball-reference.com/teams/DAL/executives.html,2026-09-19,high
Dallas Mavericks,gm,Mike Schmitz,General Manager,https://sports.yahoo.com/nba/breaking-news/article/mavericks-hire-mike-schmitz-as-gm-officially-replacing-nico-harrison-in-new-era-for-the-franchise-200223647.html,2026-09-19,high
Dallas Mavericks,basketball_ops,Michael Finley,Assistant General Manager / VP of Player Personnel,https://basketball.realgm.com/nba/teams/Dallas-Mavericks/6/Rosters/Regular/2026,2026-09-19,medium
Dallas Mavericks,basketball_ops,Matt Riccardi,Assistant General Manager,https://basketball.realgm.com/nba/teams/Dallas-Mavericks/6/Rosters/Regular/2026,2026-09-19,medium
Dallas Mavericks,basketball_ops,Khalia Collier,"VP & Chief of Staff, Basketball Ops",https://basketball.realgm.com/nba/teams/Dallas-Mavericks/6/Rosters/Regular/2026,2026-09-19,medium
Dallas Mavericks,analytics,Andrew Baker,Vice President Basketball Strategy and Analytics,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Dallas Mavericks,analytics,Marc Oelkers,Basketball Systems Manager,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Dallas Mavericks,analytics,Ryan Drost,Basketball Research Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Dallas Mavericks,scouting,Jason White,Director of Scouting,https://basketball.realgm.com/nba/teams/Dallas-Mavericks/6/Rosters/Regular/2026,2026-09-19,medium
Dallas Mavericks,scouting,Makhtar Ndiaye,Director of Pro Personnel & International,https://library.sfo2.cdn.digitaloceanspaces.com/publications/basketball/yearbooks/KDALMMG-2025.pdf,2026-09-19,medium
Dallas Mavericks,scouting,David Pendergraft,Director of Pro Personnel,https://basketball.realgm.com/nba/teams/Dallas-Mavericks/6/Rosters/Regular/2026,2026-09-19,medium
Dallas Mavericks,coaching,Dusty May,Head Coach,https://www.dallasnews.com/sports/mavericks/article/dallas-mavericks-make-hiring-dusty-head-coach-22317450.php,2026-09-19,high
Dallas Mavericks,medical,Johann Bilsborough,Director of Player Health & Performance,https://library.sfo2.cdn.digitaloceanspaces.com/publications/basketball/yearbooks/KDALMMG-2025.pdf,2026-09-19,medium
Dallas Mavericks,medical,Dionne Calhoun,Head Athletic Trainer,https://library.sfo2.cdn.digitaloceanspaces.com/publications/basketball/yearbooks/KDALMMG-2025.pdf,2026-09-19,medium
Dallas Mavericks,business,Sekou Lewis,General Counsel & Chief Ethics Officer,https://basketball.realgm.com/nba/teams/Dallas-Mavericks/6/Rosters/Regular/2026,2026-09-19,medium
