team,role,name,title,source_url,as_of,confidence
Denver Nuggets,ownership,E. Stanley Kroenke,Owner and Governor,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,ownership,Josh Kroenke,KSE Vice Chairman,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,basketball_ops,Ben Tenzer,Executive Vice President of Basketball Operations,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,scouting,Jonathan Wallace,Executive Vice President of Player Personnel,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,basketball_ops,Lisa Johnson,Vice President of Basketball Administration,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,scouting,Jim Clibanoff,Director of Amateur and Grassroots Scouting,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,scouting,Scott Howard,Director of College Scouting,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,scouting,Herb Livsey,Scout,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,scouting,Rafal Juc,Scout,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,scouting,Nenad Miljenovic,Scout,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,analytics,Owen Phillips,Senior Basketball Analyst,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,analytics,Layne Vashro,Vice President of Analytics and Strategy,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,analytics,Mike Singer,Intelligence and Strategy Specialist,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,basketball_ops,Chad Pennick,Manager of Team Operations and Player Services,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,analytics,Nihal Kolur,"Director of Strategy/Assistant General Manager, Grand Rapids Gold",https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,scouting,Luke Thompson,Scouting Coordinator,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,scouting,Dethie Fall,Director of Professional Scouting,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,scouting,Chad Iske,"Vice President of Pro Personnel/General Manager, Grand Rapids Gold",https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,coaching,Darrell Arthur,Player Development Coach,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,basketball_ops,Todd Checovich,Vice President of Basketball Operations,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,scouting,Jarrett Stephens,Scout,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,basketball_ops,Shemar Waugh,Basketball Operations Coordinator,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,coaching,David Adelman,Head Coach,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,coaching,Jared Dudley,Assistant Coach,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,coaching,JJ Barea,Assistant Coach,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,coaching,Mike Moser,Assistant Coach,https://www.nba.com/nuggets/staff,2026-09-19,high
Denver Nuggets,coaching,Andrew Munson,Assistant Coach,https://www.nba.com/nuggets/staff,2026-09-19,high
