team,role,name,title,source_url,as_of,confidence
Detroit Pistons,ownership,Tom Gores,Owner / Principal Owner,https://basketball.realgm.com/nba/teams/Detroit-Pistons/8/Rosters/Regular/2026,2026-09-19,high
Detroit Pistons,ownership,Arn Tellem,Vice Chairman,https://basketball.realgm.com/nba/teams/Detroit-Pistons/8/Rosters/Regular/2026,2026-09-19,medium
Detroit Pistons,business,Melanie Harris,President of Business Operations,https://basketball.realgm.com/nba/teams/Detroit-Pistons/8/Rosters/Regular/2026,2026-09-19,high
Detroit Pistons,business,Dennis Mannion,Chief Executive Officer,https://basketball.realgm.com/nba/teams/Detroit-Pistons/8/Rosters/Regular/2026,2026-09-19,medium
Detroit Pistons,president,Trajan Langdon,President of Basketball Operations,https://www.basketball-reference.com/teams/DET/executives.html,2026-09-19,high
Detroit Pistons,basketball_ops,Michael Blackstone,"Executive Vice President, Basketball Operations",https://www.nba.com/pistons/news/detroit-pistons-finalize-basketball-operations-leadership,2026-09-19,high
Detroit Pistons,basketball_ops,Dennis Lindsey,"Senior Vice President, Basketball Operations",https://www.nba.com/pistons/news/detroit-pistons-finalize-basketball-operations-leadership,2026-09-19,high
Detroit Pistons,basketball_ops,George David,"Senior Vice President, Basketball Administration",https://www.nba.com/pistons/news/detroit-pistons-finalize-basketball-operations-leadership,2026-09-19,high
Detroit Pistons,basketball_ops,Eric Tellem,"Vice President, Player Personnel",https://www.nba.com/pistons/news/detroit-pistons-finalize-basketball-operations-leadership,2026-09-19,high
Detroit Pistons,basketball_ops,J.R. Holden,"Vice President, Player Acquisition & Development",https://www.nba.com/pistons/news/detroit-pistons-finalize-basketball-operations-leadership,2026-09-19,high
Detroit Pistons,basketball_ops,Tony Leotti,Assistant General Manager,https://basketball.realgm.com/nba/teams/Detroit-Pistons/8/Rosters/Regular/2026,2026-09-19,medium
Detroit Pistons,basketball_ops,Marshall Smith,Vice President of Basketball Operations,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Detroit Pistons,scouting,Gianluca Pascucci,Senior Director of Global Scouting,https://www.nba.com/pistons/news/detroit-pistons-finalize-basketball-operations-leadership,2026-09-19,high
Detroit Pistons,scouting,Jamal James,Director of College Scouting,https://basketball.realgm.com/nba/teams/Detroit-Pistons/8/Rosters/Regular/2026,2026-09-19,medium
Detroit Pistons,analytics,Jorge Costa,"Senior Director, Data Strategy & Reporting",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Detroit Pistons,medical,Greg Smith,"Vice President, Player Health & Care",https://www.nba.com/pistons/news/detroit-pistons-finalize-basketball-operations-leadership,2026-09-19,high
Detroit Pistons,medical,Rachel Cutts,Head Athletic Trainer,https://basketball.realgm.com/nba/teams/Detroit-Pistons/8/Rosters/Regular/2026,2026-09-19,medium
Detroit Pistons,coaching,J.B. Bickerstaff,Head Coach,https://basketball.realgm.com/nba/teams/Detroit-Pistons/8/Rosters/Regular/2026,2026-09-19,high
Detroit Pistons,coaching,Jarrett Jack,Assistant Coach,https://basketball.realgm.com/nba/teams/Detroit-Pistons/8/Rosters/Regular/2026,2026-09-19,medium
Detroit Pistons,coaching,Luke Walton,Assistant Coach,https://basketball.realgm.com/nba/teams/Detroit-Pistons/8/Rosters/Regular/2026,2026-09-19,medium
Detroit Pistons,coaching,Sidney Lowe,Assistant Coach,https://basketball.realgm.com/nba/teams/Detroit-Pistons/8/Rosters/Regular/2026,2026-09-19,medium
