team,role,name,title,source_url,as_of,confidence
Golden State Warriors,ownership,Joe Lacob,Governor / Co-Executive Chairman & CEO,https://www.nba.com/team/1610612744/warriors,2026-09-19,high
Golden State Warriors,ownership,Peter Guber,Co-Executive Chairman,https://www.nba.com/team/1610612744/warriors,2026-09-19,medium
Golden State Warriors,gm,Mike Dunleavy Jr.,General Manager,https://www.nba.com/team/1610612744/warriors,2026-09-19,high
Golden State Warriors,basketball_ops,Kirk Lacob,"Executive Vice President, Basketball Operations",https://www.nba.com/warriors/news/warriors-announce-basketball-operations-promotions-and-additions-20230809,2026-09-19,high
Golden State Warriors,basketball_ops,Kent Lacob,"Vice President, Basketball Development",https://www.nba.com/warriors/news/warriors-announce-basketball-operations-promotions-and-additions-20230809,2026-09-19,high
Golden State Warriors,basketball_ops,Onsi Saleh,"Vice President, Basketball Strategy and Team Counsel",https://www.nba.com/warriors/news/warriors-announce-basketball-operations-promotions-and-additions-20230809,2026-09-19,high
Golden State Warriors,analytics,Pabail Sidhu,"Vice President, Basketball Analytics and Innovation",https://www.nba.com/warriors/news/warriors-announce-basketball-operations-promotions-and-additions-20230809,2026-09-19,high
Golden State Warriors,basketball_ops,Nanea McGuigan,"Senior Director, Basketball Administration and Player Programs",https://www.nba.com/warriors/news/warriors-announce-basketball-operations-promotions-and-additions-20230809,2026-09-19,high
Golden State Warriors,basketball_ops,Ryan Atkinson,"Senior Director, Basketball Development",https://www.nba.com/warriors/news/warriors-announce-basketball-operations-promotions-and-additions-20230809,2026-09-19,high
Golden State Warriors,basketball_ops,Chuck Hayes,"Director, Basketball Operations",https://www.nba.com/warriors/news/warriors-announce-basketball-operations-promotions-and-additions-20230809,2026-09-19,high
Golden State Warriors,basketball_ops,Tatiana Lampley,"Coordinator, Basketball Operations",https://www.nba.com/warriors/news/warriors-announce-basketball-operations-promotions-and-additions-20230809,2026-09-19,high
Golden State Warriors,analytics,Kevin Steele,Analytics and Machine Learning Data Engineering Lead,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Golden State Warriors,analytics,Marshall Payne,"Director, Basketball Insights",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Golden State Warriors,analytics,Michael Scheinert,"Director, Basketball Strategy",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Golden State Warriors,analytics,Hannah Heiring,Data Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Golden State Warriors,analytics,James Hu,Data Scientist,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Golden State Warriors,coaching,Steve Kerr,Head Coach,https://www.nba.com/team/1610612744/warriors,2026-09-19,high
Golden State Warriors,coaching,Frank Vogel,Associate Head Coach,https://www.nba.com/team/1610612744/warriors,2026-09-19,high
Golden State Warriors,coaching,Ron Adams,Assistant Coach,https://www.nba.com/team/1610612744/warriors,2026-09-19,high
Golden State Warriors,coaching,Bruce Fraser,Assistant Coach,https://www.nba.com/team/1610612744/warriors,2026-09-19,high
Golden State Warriors,medical,Drew Yoder,Trainer,https://www.nba.com/team/1610612744/warriors,2026-09-19,high
