team,role,name,title,source_url,as_of,confidence
Houston Rockets,ownership,Tilman Fertitta,Owner,https://basketball.realgm.com/nba/teams/Houston-Rockets/10/Rosters/Regular/2026,2026-09-19,high
Houston Rockets,business,Gretchen Sheirr,President of Business Operations,https://basketball.realgm.com/nba/teams/Houston-Rockets/10/Rosters/Regular/2026,2026-09-19,high
Houston Rockets,business,Ryan Tanke,Chief Operating Officer,https://basketball.realgm.com/nba/teams/Houston-Rockets/10/Rosters/Regular/2026,2026-09-19,medium
Houston Rockets,gm,Rafael Stone,General Manager,https://www.basketball-reference.com/teams/HOU/executives.html,2026-09-19,high
Houston Rockets,basketball_ops,Eli Witus,Executive VP of Basketball Operations / Assistant General Manager,https://basketball.realgm.com/nba/teams/Houston-Rockets/10/Rosters/Regular/2026,2026-09-19,high
Houston Rockets,basketball_ops,Keith Jones,Senior VP of Basketball Operations,https://basketball.realgm.com/nba/teams/Houston-Rockets/10/Rosters/Regular/2026,2026-09-19,high
Houston Rockets,basketball_ops,Jim Paulis,Director of Player Personnel,https://basketball.realgm.com/nba/teams/Houston-Rockets/10/Rosters/Regular/2026,2026-09-19,medium
Houston Rockets,scouting,Chris Wallace,Director of Scouting,https://basketball.realgm.com/nba/teams/Houston-Rockets/10/Rosters/Regular/2026,2026-09-19,medium
Houston Rockets,scouting,Anthony Nila,Director of International Scouting,https://basketball.realgm.com/nba/teams/Houston-Rockets/10/Rosters/Regular/2026,2026-09-19,medium
Houston Rockets,scouting,Alex Santos,VP of International Scouting,https://basketball.realgm.com/nba/teams/Houston-Rockets/10/Rosters/Regular/2026,2026-09-19,medium
Houston Rockets,analytics,Jason Roman,Senior Director of Basketball Analytics,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Houston Rockets,analytics,Neil Johnson,Director of Quantitative Research and Development,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Houston Rockets,analytics,Jake Flancer,Basketball Operations Senior Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Houston Rockets,analytics,Edward Kupfer,Basketball Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Houston Rockets,coaching,Ime Udoka,Head Coach,https://basketball.realgm.com/nba/teams/Houston-Rockets/10/Rosters/Regular/2026,2026-09-19,high
Houston Rockets,coaching,Ben Sullivan,Assistant Coach,https://basketball.realgm.com/nba/teams/Houston-Rockets/10/Rosters/Regular/2026,2026-09-19,medium
Houston Rockets,coaching,Chip Engelland,Assistant Coach,https://www.houstonchronicle.com/sports/rockets/article/chip-engelland-assistant-coach-22356363.php,2026-09-19,high
Houston Rockets,medical,Jason Biles,Head Athletic Trainer,https://basketball.realgm.com/nba/teams/Houston-Rockets/10/Rosters/Regular/2026,2026-09-19,medium
Houston Rockets,medical,Willie Cruz,Director of Athletic Performance,https://basketball.realgm.com/nba/teams/Houston-Rockets/10/Rosters/Regular/2026,2026-09-19,medium
