team,role,name,title,source_url,as_of,confidence
Indiana Pacers,ownership,Herbert Simon,"Owner, Chairman and NBA Governor",https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,ownership,Stephen Simon,Owner and Alternate NBA Governor,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,business,Mel Raines,CEO,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,president,Kevin Pritchard,President of Basketball Operations,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,business,Rick Fuson,Advisor To The Chairman,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,gm,Chad Buchanan,General Manager,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,basketball_ops,Ted Wu,Executive Vice President of Basketball Operations / Assistant General Manager,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,coaching,Rick Carlisle,Head Coach,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,coaching,Jenny Boucek,Assistant Coach,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,coaching,Jim Boylen,Assistant Coach,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,coaching,Johnny Carpenter,Assistant Coach,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,coaching,Lloyd Pierce,Assistant Coach,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,coaching,Maurice Baker,Assistant Coach/Player Development,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,coaching,Jannero Pargo,Assistant Coach/Player Development,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,coaching,Isaac Yacob,Assistant Coach/Player Development,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,basketball_ops,Sonya Clutinger,Vice President/Basketball Administration,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,scouting,Vance Catlin,"Senior Vice President, Pro Scouting",https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,medical,Josh Corbeil,"Senior Vice President, Sports Medicine and Performance/Head Athletic Trainer",https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,medical,Carl Eaton,"Vice President, Sports Medicine and Performance/Associate Head Athletic Trainer",https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,analytics,Spencer Anderson,"Vice President, Basketball Analytics and Strategy",https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,basketball_ops,Zach Eagle,Director/Team Operations,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,scouting,Hansen Wong,Manager/G-League & International Scouting,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,scouting,Mike Born,"Director, College Scouting",https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,scouting,Jose Galilea,Scout,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,scouting,Harrison Greenberg,Scout,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,scouting,Brian Levy,Scout,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,scouting,Carl Nicks,Scout,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
Indiana Pacers,scouting,Aleksandar Pajovic,Scout,https://www.gainbridgefieldhouse.com/assets/doc/Directory_051926-b8cf74bede.pdf,2026-09-19,high
