team,role,name,title,source_url,as_of,confidence
Los Angeles Clippers,ownership,Steve Ballmer,Owner / Chairman,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,high
Los Angeles Clippers,ownership,Dennis Wong,Vice Chairman,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Clippers,business,Gillian Zucker,President of Business Operations,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,high
Los Angeles Clippers,business,Dick Parsons,Chief Executive Officer,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Clippers,president,Lawrence Frank,President of Basketball Operations,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Clippers,gm,Trent Redden,General Manager,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,high
Los Angeles Clippers,basketball_ops,Mark Hughes,Senior VP / Assistant General Manager,https://www.nba.com/clippers/news/la-clippers-promote-redden-and-hughes,2026-09-19,high
Los Angeles Clippers,basketball_ops,Jud Winton,VP / Assistant General Manager,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Los Angeles Clippers,basketball_ops,Rishabh Desai,Executive Director of Basketball Operations,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Clippers,basketball_ops,Monte McNair,Advisor,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Los Angeles Clippers,analytics,Gregory Peim,Vice President of Basketball Research & Analytics,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Los Angeles Clippers,analytics,Matthew Elijah,VP of Basketball Strategy,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Los Angeles Clippers,analytics,Ben Starks,"Manager, Basketball Analysis",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Los Angeles Clippers,scouting,John Loyer,Director of Pro Scouting,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Clippers,scouting,Jason Piombetti,Director of College Player Personnel,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Clippers,scouting,Fabrizio Besnati,Director of International Scouting,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Clippers,coaching,Tyronn Lue,Head Coach,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,high
Los Angeles Clippers,coaching,Jeff Van Gundy,Lead Assistant Coach,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Clippers,coaching,Brian Shaw,Assistant Coach,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Clippers,medical,Jasen Powell,Head Athletic Trainer / Director of Medical Services,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Clippers,medical,Adam Virgile,Director of Sports Science,https://basketball.realgm.com/nba/teams/Los-Angeles-Clippers/12/Rosters/Regular/2026,2026-09-19,medium
