team,role,name,title,source_url,as_of,confidence
Los Angeles Lakers,ownership,Mark Walter,Majority Owner,https://basketball.realgm.com/nba/teams/Los-Angeles-Lakers/13/Rosters/Regular/2026,2026-09-19,high
Los Angeles Lakers,ownership,Jeanie Buss,Governor / Chief Executive Officer,https://basketball.realgm.com/nba/teams/Los-Angeles-Lakers/13/Rosters/Regular/2026,2026-09-19,high
Los Angeles Lakers,business,Lon Rosen,President of Business Operations,https://basketball.realgm.com/nba/teams/Los-Angeles-Lakers/13/Rosters/Regular/2026,2026-09-19,high
Los Angeles Lakers,business,Tim Harris,President of Business Operations,https://basketball.realgm.com/nba/teams/Los-Angeles-Lakers/13/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Lakers,president,Rob Pelinka,President of Basketball Operations / General Manager,https://www.basketball-reference.com/teams/LAL/executives.html,2026-09-19,high
Los Angeles Lakers,gm,Rob Pelinka,President of Basketball Operations / General Manager,https://www.basketball-reference.com/teams/LAL/executives.html,2026-09-19,high
Los Angeles Lakers,basketball_ops,Rohan Ramadas,Assistant General Manager,https://nypost.com/2026/05/25/sports/lakers-hire-rohan-ramadas-as-assistant-gm/,2026-09-19,high
Los Angeles Lakers,basketball_ops,Eric Amsler,Assistant General Manager,https://www.fantasynerds.com/news/story/2026/09/11/lakers-add-front-office-depth-with-assistant-gm-performance-director-hires-1620661,2026-09-19,medium
Los Angeles Lakers,basketball_ops,Jesse Buss,Assistant General Manager / Director of Scouting,https://basketball.realgm.com/nba/teams/Los-Angeles-Lakers/13/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Lakers,basketball_ops,Kurt Rambis,Director of Basketball Affairs,https://basketball.realgm.com/nba/teams/Los-Angeles-Lakers/13/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Lakers,analytics,Philip Chang,"Vice President, Analytics Strategy",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Los Angeles Lakers,analytics,Nathan Hollenberg,"Senior Data Scientist, Basketball Data Strategy",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Los Angeles Lakers,analytics,Cooper Chia,Senior Basketball Developer & Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Los Angeles Lakers,analytics,Dom Samangy,Basketball Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Los Angeles Lakers,scouting,Sean Buss,Scout,https://basketball.realgm.com/nba/teams/Los-Angeles-Lakers/13/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Lakers,coaching,J.J. Redick,Head Coach,https://basketball.realgm.com/nba/teams/Los-Angeles-Lakers/13/Rosters/Regular/2026,2026-09-19,high
Los Angeles Lakers,coaching,Nate McMillan,Associate Head Coach,https://basketball.realgm.com/nba/teams/Los-Angeles-Lakers/13/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Lakers,coaching,Scott Brooks,Assistant Coach,https://basketball.realgm.com/nba/teams/Los-Angeles-Lakers/13/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Lakers,medical,Vanessa Brooks,Head Athletic Trainer,https://basketball.realgm.com/nba/teams/Los-Angeles-Lakers/13/Rosters/Regular/2026,2026-09-19,medium
Los Angeles Lakers,medical,Dr. Judy Seto,Director of Sports Performance,https://basketball.realgm.com/nba/teams/Los-Angeles-Lakers/13/Rosters/Regular/2026,2026-09-19,medium
