team,role,name,title,source_url,as_of,confidence
Memphis Grizzlies,ownership,Robert J. Pera,Owner / Chairman,https://basketball.realgm.com/nba/teams/Memphis-Grizzlies/14/Rosters/Regular/2026,2026-09-19,high
Memphis Grizzlies,business,Jason Wexler,President of Business Operations,https://basketball.realgm.com/nba/teams/Memphis-Grizzlies/14/Rosters/Regular/2026,2026-09-19,high
Memphis Grizzlies,gm,Zachary Kleiman,Executive VP of Basketball Operations / General Manager,https://www.basketball-reference.com/teams/MEM/executives.html,2026-09-19,high
Memphis Grizzlies,basketball_ops,Chris Makris,VP of Player Personnel,https://basketball.realgm.com/nba/teams/Memphis-Grizzlies/14/Rosters/Regular/2026,2026-09-19,medium
Memphis Grizzlies,basketball_ops,Rich Cho,VP of Basketball Strategy,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Memphis Grizzlies,basketball_ops,J.T. Campbell,Director of Basketball Strategy,https://basketball.realgm.com/nba/teams/Memphis-Grizzlies/14/Rosters/Regular/2026,2026-09-19,medium
Memphis Grizzlies,basketball_ops,Nolan Anschuetz,Director of Basketball Operations,https://basketball.realgm.com/nba/teams/Memphis-Grizzlies/14/Rosters/Regular/2026,2026-09-19,medium
Memphis Grizzlies,analytics,Mark Cheung,Coaching Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Memphis Grizzlies,analytics,Scott Bullock,Software Architect,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Memphis Grizzlies,scouting,Davide Prati,International Scout,https://basketball.realgm.com/nba/teams/Memphis-Grizzlies/14/Rosters/Regular/2026,2026-09-19,medium
Memphis Grizzlies,scouting,Adam Johansen,Advance Scout,https://basketball.realgm.com/nba/teams/Memphis-Grizzlies/14/Rosters/Regular/2026,2026-09-19,medium
Memphis Grizzlies,coaching,Tuomas Iisalo,Head Coach,https://basketball.realgm.com/nba/teams/Memphis-Grizzlies/14/Rosters/Regular/2026,2026-09-19,high
Memphis Grizzlies,coaching,Ryan Saunders,Lead Assistant Coach,https://basketball.realgm.com/nba/teams/Memphis-Grizzlies/14/Rosters/Regular/2026,2026-09-19,medium
Memphis Grizzlies,coaching,Anthony Carter,Assistant Coach,https://basketball.realgm.com/nba/teams/Memphis-Grizzlies/14/Rosters/Regular/2026,2026-09-19,medium
Memphis Grizzlies,medical,Drew Graham,VP of Player Care,https://basketball.realgm.com/nba/teams/Memphis-Grizzlies/14/Rosters/Regular/2026,2026-09-19,medium
Memphis Grizzlies,medical,Eric Oetter,Director of Sports Medicine,https://basketball.realgm.com/nba/teams/Memphis-Grizzlies/14/Rosters/Regular/2026,2026-09-19,medium
Memphis Grizzlies,medical,Chris Chase,Director of Performance,https://basketball.realgm.com/nba/teams/Memphis-Grizzlies/14/Rosters/Regular/2026,2026-09-19,medium
