team,role,name,title,source_url,as_of,confidence
Miami Heat,ownership,Micky Arison,Managing General Partner,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,business,Nick Arison,Chief Executive Officer,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,president,Pat Riley,President,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,gm,Andy Elisburg,"Executive Vice President, Basketball Operations/General Manager",https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,basketball_ops,Adam Simon,"Vice President, Basketball Operations/Assistant General Manager",https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,basketball_ops,Alonzo Mourning,"Vice President, Player Programs",https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,scouting,Eric Amsler,"Vice President, Player Personnel",https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,basketball_ops,Udonis Haslem,"Vice President, Basketball Development",https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,basketball_ops,Chet Kammerer,Senior Advisor of Basketball Operations/Basketball,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,basketball_ops,Shane Battier,Strategic Advisor,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,coaching,Erik Spoelstra,Head Coach,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,coaching,Chris Quinn,Associate Head Coach,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,coaching,Malik Allen,Assistant Coach,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,coaching,Caron Butler,Assistant Coach,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,coaching,Octavio De La Grana,Assistant Coach,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,coaching,Eric Glass,Assistant Coach,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,coaching,Wayne Ellington,Assistant Coach,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,basketball_ops,Scott Gurka,Senior Director of Basketball Administration,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,scouting,Chad Kammerer,Director of NBA Scouting/Advance Scout,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,scouting,Denis Memic,Director of Global Scouting,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,scouting,Keith Askins,Director of College & Pro Scouting,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,scouting,Jack Fitzgerald,Scout,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,scouting,Bob Staak,Scout,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,analytics,Brian Hecker,Senior Director of Basketball Analytics and Innovation,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,analytics,Warren Spencer,Basketball Analytics Manager,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,analytics,Justin Wong,Basketball Data Scientist,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,analytics,Bob Chaikin,Basketball Analyst,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,analytics,Max Clark,"Director, Data Science",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Miami Heat,analytics,Liam Doyle,Senior Manager of Basketball Analytics and Scouting,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Miami Heat,medical,Wes Brown,Head Athletic Trainer,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,medical,Eric Foran,Head Strength & Conditioning Coach,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,medical,Jeff Ruiz,Senior Director of Rehabilitation and Athletic Performance,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,medical,Betsy Berthin,Director of Sports Nutrition,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,basketball_ops,Rob Pimental,Director of Team Operations,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,basketball_ops,Dave Beyer,Senior Director of Basketball Operations,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,basketball_ops,Ruth Hunter,Senior Director of Team Development,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,business,Eric Woolworth,"President, Business Operations",https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,business,Sammy Schulman,Executive Vice President/Chief Financial Officer,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,business,Michael McCullough,Executive Vice President/Chief Marketing Officer,https://www.nba.com/heat/contact/directory,2026-09-19,high
Miami Heat,business,Edson Crevecoeur,"Senior Vice President, Strategy & Data Analytics",https://www.nba.com/heat/contact/directory,2026-09-19,medium
