team,role,name,title,source_url,as_of,confidence
Milwaukee Bucks,ownership,Wes Edens,Controlling Owner / Governor,https://www.nba.com/news/nba-board-of-governors-approve-bucks-ownership-share-purchase-by-haslam-sports-group,2026-09-19,high
Milwaukee Bucks,ownership,Jimmy Haslam,Co-Owner (Haslam Sports Group),https://www.nba.com/news/nba-board-of-governors-approve-bucks-ownership-share-purchase-by-haslam-sports-group,2026-09-19,high
Milwaukee Bucks,business,Josh Glessing,President,https://urbanmilwaukee.com/2026/01/05/milwaukee-bucks-name-new-team-president/,2026-09-19,high
Milwaukee Bucks,gm,Jon Horst,General Manager,https://www.nba.com/news/milwaukee-bucks-sign-gm-jon-horst-to-multi-year-extension,2026-09-19,high
Milwaukee Bucks,basketball_ops,Milt Newton,Assistant General Manager,https://basketball.realgm.com/nba/teams/Milwaukee-Bucks/16/staff-members,2026-09-19,medium
Milwaukee Bucks,basketball_ops,Dave Dean,VP of Basketball Operations,https://basketball.realgm.com/nba/teams/Milwaukee-Bucks/16/Rosters/Regular,2026-09-19,medium
Milwaukee Bucks,analytics,Pat Haneman,Vice President of Basketball Strategy & Analytics,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Milwaukee Bucks,analytics,Samer Jassar,Director of Basketball Strategy & Analytics,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Milwaukee Bucks,analytics,TJ Barra,Vice President Basketball Research and Innovation,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Milwaukee Bucks,analytics,CB Garrett,Director of Basketball Research and Innovation,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Milwaukee Bucks,analytics,Sanjay Pothula,Research & Innovation Senior Data Scientist,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Milwaukee Bucks,analytics,Jack Weyer,Basketball Quantitative Strategist,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Milwaukee Bucks,coaching,Darvin Ham,Head Coach,https://basketball.realgm.com/nba/teams/Milwaukee-Bucks/16/Rosters/Regular,2026-09-19,medium
Milwaukee Bucks,business,Patrick McDonough,Chief Financial Officer,https://basketball.realgm.com/nba/teams/Milwaukee-Bucks/16/Rosters/Regular,2026-09-19,medium
Milwaukee Bucks,business,Mike McCarthy,Chief Operating Officer,https://basketball.realgm.com/nba/teams/Milwaukee-Bucks/16/Rosters/Regular,2026-09-19,medium
Milwaukee Bucks,basketball_ops,Jennifer Rundell,Assistant to the General Manager,https://basketball.realgm.com/nba/teams/Milwaukee-Bucks/16/Rosters/Regular,2026-09-19,medium
Milwaukee Bucks,basketball_ops,Jen Kroening,Assistant to the General Manager,https://basketball.realgm.com/nba/teams/Milwaukee-Bucks/16/Rosters/Regular,2026-09-19,medium
