team,role,name,title,source_url,as_of,confidence
Minnesota Timberwolves,ownership,Alex Rodriguez,Owner / Co-Chairman / Controlling Owner,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,high
Minnesota Timberwolves,ownership,Marc Lore,Owner / Co-Chairman,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,high
Minnesota Timberwolves,business,Matthew Caldwell,Chief Executive Officer,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,high
Minnesota Timberwolves,president,Tim Connelly,President of Basketball Operations,https://www.basketball-reference.com/teams/MIN/executives.html,2026-09-19,high
Minnesota Timberwolves,gm,Matt Lloyd,General Manager,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,high
Minnesota Timberwolves,basketball_ops,Dell Demps,Vice President of Basketball Operations,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,high
Minnesota Timberwolves,basketball_ops,Steve Senior,Assistant General Manager,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,high
Minnesota Timberwolves,basketball_ops,Emmanuel Rohan,Assistant General Manager,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,high
Minnesota Timberwolves,basketball_ops,Joe Connelly,Vice President of Player Personnel,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,high
Minnesota Timberwolves,analytics,Josh Gershon,Director of Basketball Intelligence,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Minnesota Timberwolves,analytics,Seth Martin,Basketball Strategy & Analytics Coordinator,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Minnesota Timberwolves,scouting,Zarko Durisic,Director of Global Scouting / Senior Player Personnel Scout,https://basketball.realgm.com/nba/teams/Minnesota-Timberwolves/17/Rosters/Regular/2026,2026-09-19,medium
Minnesota Timberwolves,scouting,Andrew Novak,Manager of Scouting / Iowa Wolves Assistant GM,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,medium
Minnesota Timberwolves,coaching,Chris Finch,Head Coach,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,high
Minnesota Timberwolves,coaching,Micah Nori,Assistant Coach,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,medium
Minnesota Timberwolves,coaching,Pablo Prigioni,Assistant Coach,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,medium
Minnesota Timberwolves,medical,Erin Sierer,Head Athletic Trainer,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,high
Minnesota Timberwolves,medical,Javair Gillett,Vice President of Sports Science and Player Performance,https://cdn.wolveslynx.com/timberwolves/communications/guides/2025-26_Wolves-MediaGuide.pdf,2026-09-19,high
