team,role,name,title,source_url,as_of,confidence
New Orleans Pelicans,ownership,Gayle Benson,Governor,https://www.nba.com/pelicans/team/executives,2026-09-19,high
New Orleans Pelicans,president,Dennis Lauscha,President,https://www.nba.com/pelicans/team/executives,2026-09-19,high
New Orleans Pelicans,basketball_ops,Joe Dumars,Executive Vice President of Basketball Operations,https://www.nba.com/pelicans/team/executives,2026-09-19,high
New Orleans Pelicans,gm,Troy Weaver,General Manager / Senior Vice President of Basketball Operations,https://www.nba.com/team/1610612740/pelicans,2026-09-19,medium
New Orleans Pelicans,basketball_ops,Troy Weaver,Senior Vice President of Basketball Operations,https://www.nba.com/pelicans/team/executives,2026-09-19,high
New Orleans Pelicans,basketball_ops,Swin Cash,Senior Vice President of Basketball Operations,https://basketball.realgm.com/nba/teams/New-Orleans-Pelicans/19/staff-members/Current/grid,2026-09-19,medium
New Orleans Pelicans,scouting,Adam Barnes,Director of College Scouting,https://basketball.realgm.com/nba/teams/New-Orleans-Pelicans/19/staff-members/Current/grid,2026-09-19,medium
New Orleans Pelicans,scouting,Alejandro Gonzalez,Director of International Scouting,https://basketball.realgm.com/nba/teams/New-Orleans-Pelicans/19/staff-members/Current/grid,2026-09-19,medium
New Orleans Pelicans,analytics,AJ Meyer,Director of Analytics,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
New Orleans Pelicans,basketball_ops,Marc Chasanoff,Senior Director of Salary Cap & Strategy,https://basketball.realgm.com/nba/teams/New-Orleans-Pelicans/19/staff-members/Current/grid,2026-09-19,medium
New Orleans Pelicans,medical,David Cosgrave,Vice President of Health & Performance,https://basketball.realgm.com/nba/teams/New-Orleans-Pelicans/19/staff-members/Current/grid,2026-09-19,medium
New Orleans Pelicans,medical,Joe Sharpe,Head Athletic Trainer,https://basketball.realgm.com/nba/teams/New-Orleans-Pelicans/19/staff-members/Current/grid,2026-09-19,medium
New Orleans Pelicans,coaching,Jamahl Mosley,Head Coach,https://www.nba.com/team/1610612740/pelicans,2026-09-19,high
New Orleans Pelicans,business,Greg Bensel,Senior Vice President of Communications & Broadcasting,https://www.nba.com/pelicans/team/executives,2026-09-19,high
New Orleans Pelicans,business,Ben Hales,Senior Vice President/Chief Operating Officer,https://www.nba.com/pelicans/team/executives,2026-09-19,high
New Orleans Pelicans,business,David Chaix,Senior Vice President/Chief Financial Officer,https://www.nba.com/pelicans/team/executives,2026-09-19,high
New Orleans Pelicans,business,Vicky Neumeyer,Senior Vice President/General Counsel,https://www.nba.com/pelicans/team/executives,2026-09-19,high
New Orleans Pelicans,business,Greg Rouchell,Senior Vice President of Human Resources/Corporate Counsel,https://www.nba.com/pelicans/team/executives,2026-09-19,high
New Orleans Pelicans,business,Michael Stanfield,Senior Vice President of Sales,https://www.nba.com/pelicans/team/executives,2026-09-19,high
New Orleans Pelicans,business,Ed Lang,Senior Financial Advisor to Gayle Benson,https://www.nba.com/pelicans/team/executives,2026-09-19,high
