team,role,name,title,source_url,as_of,confidence
New York Knicks,ownership,James L. Dolan,Owner / NBA Governor,https://www.nba.com/knicks/front-office,2026-09-19,high
New York Knicks,president,Leon Rose,President of Basketball Operations,https://www.nba.com/knicks/front-office,2026-09-19,high
New York Knicks,gm,Scott Perry,General Manager,https://basketball.realgm.com/nba/teams/New-York-Knicks/20/staff-members/Current/grid,2026-09-19,medium
New York Knicks,basketball_ops,William Wesley,Executive Vice President / Senior Basketball Advisor,https://www.nba.com/knicks/front-office,2026-09-19,high
New York Knicks,basketball_ops,Gersson Rosas,Senior Vice President of Basketball Operations,https://www.nba.com/knicks/front-office,2026-09-19,high
New York Knicks,basketball_ops,Frank Zanin,Assistant General Manager,https://www.nba.com/knicks/front-office,2026-09-19,high
New York Knicks,basketball_ops,Walt Perrin,Assistant General Manager,https://basketball.realgm.com/nba/teams/New-York-Knicks/20/staff-members/Current/grid,2026-09-19,medium
New York Knicks,basketball_ops,Brock Aller,"Vice President, Basketball and Strategic Planning",https://basketball.realgm.com/nba/teams/New-York-Knicks/20/staff-members/Current/grid,2026-09-19,medium
New York Knicks,scouting,Gene Cross,Director of Scouting and Administration,https://basketball.realgm.com/nba/teams/New-York-Knicks/20/staff-members/Current/grid,2026-09-19,medium
New York Knicks,scouting,Makhtar Ndiaye,Director of International Scouting,https://basketball.realgm.com/nba/teams/New-York-Knicks/20/staff-members/Current/grid,2026-09-19,medium
New York Knicks,scouting,Nick Fleder,"Senior Manager, Insights and Amateur Scouting",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
New York Knicks,analytics,Chris Feller,"Director, Basketball Strategy",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
New York Knicks,analytics,Dapo Adegbile,Director of Coaching Analytics,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
New York Knicks,analytics,Andrew Haruki Hill,Basketball Data Scientist,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
New York Knicks,analytics,Richard Dry,Director of Sports Technology,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
New York Knicks,analytics,Sean MacLean,Basketball Product & Strategy Lead,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
New York Knicks,medical,Dr. Lisa Callahan,Senior Vice President of Player Care / Chief Medical Officer,https://basketball.realgm.com/nba/teams/New-York-Knicks/20/staff-members/Current/grid,2026-09-19,medium
New York Knicks,medical,Anthony Goenaga,Head Athletic Trainer,https://basketball.realgm.com/nba/teams/New-York-Knicks/20/staff-members/Current/grid,2026-09-19,medium
New York Knicks,coaching,Mike Brown,Head Coach,https://basketball.realgm.com/nba/teams/New-York-Knicks/20/staff-members/Current/grid,2026-09-19,medium
New York Knicks,business,Andrew Lustgarten,"Chief Executive Officer, MSG Sports",https://basketball.realgm.com/nba/teams/New-York-Knicks/20/staff-members/Current/grid,2026-09-19,medium
