team,role,name,title,source_url,as_of,confidence
Oklahoma City Thunder,ownership,Clay Bennett,Owner / Chairman,https://www.nba.com/thunder/frontoffice,2026-09-19,high
Oklahoma City Thunder,gm,Sam Presti,Executive Vice President and General Manager,https://www.nba.com/thunder/frontoffice,2026-09-19,high
Oklahoma City Thunder,basketball_ops,Rob Hennigan,Vice President of Basketball Operations,https://www.nba.com/thunder/frontoffice,2026-09-19,high
Oklahoma City Thunder,basketball_ops,Jesse Gould,Vice President of Basketball Operations,https://www.nba.com/thunder/frontoffice,2026-09-19,high
Oklahoma City Thunder,basketball_ops,Wynn Sullivan,Vice President of Basketball Operations,https://www.nba.com/thunder/frontoffice,2026-09-19,high
Oklahoma City Thunder,basketball_ops,Glenn Wong,Vice President / Chief of Staff,https://www.nba.com/thunder/frontoffice,2026-09-19,high
Oklahoma City Thunder,basketball_ops,Vince Rozman,Vice President of Identification & Intelligence,https://basketball.realgm.com/nba/teams/Oklahoma-City-Thunder/33/staff-members/Current/grid,2026-09-19,medium
Oklahoma City Thunder,scouting,Brandon Barnett,Director of Pro Player Personnel,https://basketball.realgm.com/nba/teams/Oklahoma-City-Thunder/33/staff-members/Current/grid,2026-09-19,medium
Oklahoma City Thunder,scouting,Nazr Mohammed,Director of Team Personnel,https://basketball.realgm.com/nba/teams/Oklahoma-City-Thunder/33/staff-members/Current/grid,2026-09-19,medium
Oklahoma City Thunder,analytics,Bailey Joseph,Director of Data Science,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Oklahoma City Thunder,analytics,Thomas Van de Houten,Director of Data Solutions,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Oklahoma City Thunder,analytics,Ezra Van Negri,"Director, Strategic Planning",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Oklahoma City Thunder,analytics,Alexis Hvostal,Data Scientist,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Oklahoma City Thunder,analytics,Rylee Buchert,Strategic Planning Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Oklahoma City Thunder,medical,Donnie Strack,Vice President of Human & Player Performance,https://basketball.realgm.com/nba/teams/Oklahoma-City-Thunder/33/staff-members/Current/grid,2026-09-19,medium
Oklahoma City Thunder,medical,Tony Katzenmeier,Athletic Trainer,https://basketball.realgm.com/nba/teams/Oklahoma-City-Thunder/33/staff-members/Current/grid,2026-09-19,medium
Oklahoma City Thunder,coaching,Mark Daigneault,Head Coach,https://www.nba.com/thunder/frontoffice,2026-09-19,high
Oklahoma City Thunder,business,Danny Barth,Chief Administrative Officer / Executive Vice President,https://basketball.realgm.com/nba/teams/Oklahoma-City-Thunder/33/staff-members/Current/grid,2026-09-19,medium
Oklahoma City Thunder,gm,Sam Presti,General Manager (BBRef personnel executive),https://www.basketball-reference.com/executives/,2026-09-19,high
