team,role,name,title,source_url,as_of,confidence
Orlando Magic,ownership,Dan DeVos,Chairman/Governor,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,ownership,Alex Martins,Vice Chair/Alternate Governor,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,business,Charles Freeman,President of Business Operations,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,business,Jim Fritz,Chief Financial Officer,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,president,Jeff Weltman,President of Basketball Operations,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,gm,Anthony Parker,General Manager,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,basketball_ops,Pete D'Alessandro,Executive Vice President of Basketball Operations,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,basketball_ops,David Bencs,Assistant General Manager,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,basketball_ops,Stephen Mervis,Assistant General Manager,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,coaching,Jamahl Mosley,Head Coach,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,coaching,Joe Prunty,Assistant Coach,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,coaching,Dale Osbourne,Assistant Coach,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,coaching,Bret Brielmaier,Assistant Coach,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,coaching,God Shammgod,Assistant Coach,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,coaching,Randy Gregory,Assistant Coach,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,coaching,Lionel Chalmers,Assistant Coach,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,medical,Ernest Eugene,Head Athletic Trainer,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,medical,Arnie Kander,Vice President of Player Performance and Wellness,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,medical,Todor Pandov,Director of Strength & Conditioning,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,scouting,Bill Branch,Vice President of Player Evaluation and Intel,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,scouting,Becky Bonner,Director of Pro Personnel,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,scouting,Monte Mathis,Advance Scout,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,scouting,Marti Artigas,International Scout,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,scouting,Trent Pennington,Manager of Minor League Scouting,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,analytics,Soumya Kambhampati,Director of Basketball Research,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,analytics,Matthew Devita,Director of Basketball Systems,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,analytics,David Corbett,Lead Data Scientist,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,analytics,Jacqlyn Poss,Senior Data Scientist,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,analytics,Ben Kimsey,Basketball Data Analyst,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,analytics,Nikhil Yerva,Senior Machine Learning Engineer,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
Orlando Magic,basketball_ops,Rodney Powell,Vice President of Team Operations,https://magicweb.blob.core.windows.net/resources/communications/orlando-magic-media-guide-2025-26.pdf,2026-09-19,high
