team,role,name,title,source_url,as_of,confidence
Phoenix Suns,ownership,Mat Ishbia,Owner,https://basketball.realgm.com/nba/teams/Phoenix-Suns/23/Rosters/Regular/2026,2026-09-19,high
Phoenix Suns,business,Josh Bartelstein,CEO,https://www.nba.com/news/suns-announce-basketball-operations-changes,2026-09-19,high
Phoenix Suns,gm,Brian Gregory,General Manager,https://www.basketball-reference.com/teams/PHO/executives.html,2026-09-19,high
Phoenix Suns,basketball_ops,James Jones,Senior Advisor of Basketball Operations,https://suns.com/news/phoenix-suns-announce-basketball-operations-changes,2026-09-19,high
Phoenix Suns,basketball_ops,Oronde Taliaferro,Assistant General Manager,https://suns.com/news/phoenix-suns-announce-basketball-operations-changes,2026-09-19,high
Phoenix Suns,basketball_ops,Morgan Cato,VP of Basketball Operations / Assistant General Manager,https://basketball.realgm.com/nba/teams/Phoenix-Suns/23/Rosters/Regular/2026,2026-09-19,medium
Phoenix Suns,basketball_ops,Trevor Bukstein,Assistant General Manager,https://basketball.realgm.com/nba/teams/Phoenix-Suns/23/Rosters/Regular/2026,2026-09-19,medium
Phoenix Suns,basketball_ops,Gerald Madkins,Assistant General Manager,https://basketball.realgm.com/nba/teams/Phoenix-Suns/23/Rosters/Regular/2026,2026-09-19,medium
Phoenix Suns,analytics,Jesse Held,"Director, Basketball Information & Research",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Phoenix Suns,analytics,Jackson Hittner,Analytics Manager,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Phoenix Suns,analytics,Hiroki Witt,"Manager, Basketball Data Infrastructure",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Phoenix Suns,scouting,Zachary Amundson,"Manager, Personnel Evaluation",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Phoenix Suns,scouting,Rex Chapman,Pro Personnel Manager,https://basketball.realgm.com/nba/teams/Phoenix-Suns/23/Rosters/Regular/2026,2026-09-19,medium
Phoenix Suns,scouting,Daniel Gomez Otero,International Scout,https://basketball.realgm.com/nba/teams/Phoenix-Suns/23/Rosters/Regular/2026,2026-09-19,medium
Phoenix Suns,coaching,Jordan Ott,Head Coach,https://suns.com/news/phoenix-suns-name-jordan-ott-head-coach,2026-09-19,high
Phoenix Suns,coaching,DeMarre Carroll,Assistant Coach,https://basketball.realgm.com/nba/teams/Phoenix-Suns/23/Rosters/Regular/2026,2026-09-19,medium
Phoenix Suns,coaching,Jesse Mermuys,Assistant Coach,https://basketball.realgm.com/nba/teams/Phoenix-Suns/23/Rosters/Regular/2026,2026-09-19,medium
Phoenix Suns,medical,David Crewe,Head Athletic Trainer / Director of Medical Services,https://basketball.realgm.com/nba/teams/Phoenix-Suns/23/Rosters/Regular/2026,2026-09-19,medium
Phoenix Suns,medical,Roger Sancho,Head Athletic Trainer,https://basketball.realgm.com/nba/teams/Phoenix-Suns/23/Rosters/Regular/2026,2026-09-19,medium
