team,role,name,title,source_url,as_of,confidence
Portland Trail Blazers,ownership,Tom Dundon,Majority Owner,https://www.nba.com/news/blazers-hire-micah-nori-coach,2026-09-19,high
Portland Trail Blazers,ownership,Jody Allen,Board of Directors / prior Governor,https://basketball.realgm.com/nba/teams/Portland-Trail-Blazers/24/staff-members/Current/grid,2026-09-19,medium
Portland Trail Blazers,president,Dewayne Hankins,"President, Business Operations",https://www.nba.com/blazers/frontoffice,2026-09-19,high
Portland Trail Blazers,gm,Joe Cronin,General Manager,https://www.nba.com/blazers/frontoffice,2026-09-19,high
Portland Trail Blazers,basketball_ops,Andrae Patterson,Assistant General Manager,https://basketball.realgm.com/nba/teams/Portland-Trail-Blazers/24/staff-members/Current/grid,2026-09-19,medium
Portland Trail Blazers,basketball_ops,Steve Rosenberry,Assistant General Manager,https://basketball.realgm.com/nba/teams/Portland-Trail-Blazers/24/staff-members/Current/grid,2026-09-19,medium
Portland Trail Blazers,basketball_ops,Nick West,Director of Basketball Operations,https://basketball.realgm.com/nba/teams/Portland-Trail-Blazers/24/staff-members/Current/grid,2026-09-19,medium
Portland Trail Blazers,scouting,B.J. Domingo,Director of Player Personnel,https://basketball.realgm.com/nba/teams/Portland-Trail-Blazers/24/staff-members/Current/grid,2026-09-19,medium
Portland Trail Blazers,scouting,Sheri Sam,Scouting Manager,https://basketball.realgm.com/nba/teams/Portland-Trail-Blazers/24/staff-members/Current/grid,2026-09-19,medium
Portland Trail Blazers,analytics,James Brocato,Director of Basketball Innovation,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Portland Trail Blazers,analytics,Zach Williams,Director of Data Science,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Portland Trail Blazers,medical,Courtney Watson,Director of Health and Player Performance,https://basketball.realgm.com/nba/teams/Portland-Trail-Blazers/24/staff-members/Current/grid,2026-09-19,medium
Portland Trail Blazers,coaching,Micah Nori,Head Coach,https://www.nba.com/news/blazers-hire-micah-nori-coach,2026-09-19,high
Portland Trail Blazers,business,Joseph Loomis,Chief Financial Officer / Executive Vice President,https://basketball.realgm.com/nba/teams/Portland-Trail-Blazers/24/staff-members/Current/grid,2026-09-19,medium
Portland Trail Blazers,business,Galen Davies,Chief Revenue Officer / Executive Vice President,https://basketball.realgm.com/nba/teams/Portland-Trail-Blazers/24/staff-members/Current/grid,2026-09-19,medium
Portland Trail Blazers,gm,Joe Cronin,General Manager (BBRef personnel executive),https://www.basketball-reference.com/executives/,2026-09-19,high
