team,role,name,title,source_url,as_of,confidence
San Antonio Spurs,ownership,Peter J. Holt,President & Co-CEO,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,RC Buford,Chief Executive Officer,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,gm,Brian Wright,General Manager,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Cindy Garas,Chief Human Resources Officer,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Patricia Mejia,Chief Impact & Inclusion Officer,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Frank Miceli,Chief Commercial Officer,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Alison Nabatoff,Chief Strategy Officer & Chief of Staff,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Bobby Perez,Chief Legal Officer & General Counsel,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Lori Warren,Strategic Advisor,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,president,Gregg Popovich,Spurs President of Basketball Operations,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,coaching,Mitch Johnson,Head Coach,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Brian Colbert,SVP Global Partnerships,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Casey Heverling,SVP Facilities,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,basketball_ops,Brandon James,SVP Strategic Growth & Deputy General Manager,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Tim Salier,SVP Business Development / ATX Ops,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Lindsay Beale,VP Business Development,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Mindy Corr,VP & General Manager,https://www.nba.com/spurs/leadership,2026-09-19,medium
San Antonio Spurs,business,Joe Donnelly,VP Corporate Development,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Tom James,VP Communications,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,analytics,Jordan Kolosey,"VP Business Strategy, Innovation, Data & Analytics",https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Jordan Mandelkorn,"VP Marketing, Creative, & Retail",https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Chris Monroe,Vice President Membership,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Michael Setser,VP Corporate Sales & Retention,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Sharif Talukder,"VP Ticket Strategy, Analytics & Operations",https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,basketball_ops,Dave Telep,Assistant General Manager,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,basketball_ops,Kaleb Thornhill,VP Player Development and Organization,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,business,Judd Williams,VP Technology,https://www.nba.com/spurs/leadership,2026-09-19,high
San Antonio Spurs,analytics,Hao Meng,Assistant GM (analytics/strategy),https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
San Antonio Spurs,analytics,Nick Repole,AVP of Basketball Research & Insight,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
San Antonio Spurs,analytics,Joshua Fink,AVP of Basketball Data Science,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
San Antonio Spurs,analytics,David Kaplan,Director of Basketball Analytics,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
San Antonio Spurs,analytics,Madison Clower,Player Development Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
San Antonio Spurs,analytics,Andrew Weatherman,Coaching Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
San Antonio Spurs,gm,Brian Wright,General Manager (BBRef personnel executive),https://www.basketball-reference.com/executives/,2026-09-19,high
