team,role,name,title,source_url,as_of,confidence
Toronto Raptors,ownership,Larry Tanenbaum,Chairman / Governor (MLSE),https://www.nba.com/raptors/team/raptors-management,2026-09-19,medium
Toronto Raptors,gm,Bobby Webster,Executive Vice President & General Manager,https://www.espn.com/nba/story/_/id/49001088/raptors-gm-webster-extended-promoted-executive-vice-president,2026-09-19,high
Toronto Raptors,basketball_ops,Dan Tolzman,Assistant General Manager / VP Player Personnel,https://www.espn.com/nba/story/_/id/49001088/raptors-gm-webster-extended-promoted-executive-vice-president,2026-09-19,medium
Toronto Raptors,analytics,Keith Boyarsky,"Vice President, Basketball Strategy & Research",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Toronto Raptors,basketball_ops,Tyla Flexman,"Vice President, Basketball Operations",https://www.espn.com/nba/story/_/id/49001088/raptors-gm-webster-extended-promoted-executive-vice-president,2026-09-19,medium
Toronto Raptors,basketball_ops,Wayne Embry,Senior Basketball Advisor,https://www.nba.com/raptors/team/raptors-management,2026-09-19,low
Toronto Raptors,analytics,Matt Redfield,Senior Director of Strategy and Analytics,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Toronto Raptors,analytics,Eric Khoury,"Assistant Coach / Director, Analytics",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,low
Toronto Raptors,coaching,Darko Rajakovic,Head Coach,https://www.nba.com/raptors,2026-09-19,medium
Toronto Raptors,scouting,Patrick Engelbrecht,Director of Player Personnel,https://www.nba.com/raptors/team/raptors-management,2026-09-19,low
Toronto Raptors,basketball_ops,Curtis Crawford,Director of Player Development,https://www.nba.com/raptors/team/raptors-management,2026-09-19,low
Toronto Raptors,basketball_ops,Luke Winn,Director of Strategy,https://www.nba.com/raptors/team/raptors-management,2026-09-19,low
