team,role,name,title,source_url,as_of,confidence
Utah Jazz,ownership,Ryan Smith,Owner,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,high
Utah Jazz,ownership,Dwyane Wade,Minority Owner / Co-owner,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,medium
Utah Jazz,business,Steve Starks,Chief Executive Officer,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,medium
Utah Jazz,business,Danny Ainge,CEO of Basketball / Chief Executive Officer,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,high
Utah Jazz,president,Austin Ainge,President of Basketball Operations,https://www.deseret.com/sports/2025/06/02/austin-ainge-to-have-final-say-utah-jazz-justin-zanik-danny-ainge/,2026-09-19,high
Utah Jazz,gm,Justin Zanik,General Manager,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,high
Utah Jazz,basketball_ops,Shane Fenske,Assistant General Manager,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Utah Jazz,basketball_ops,Linda Luchetti,Senior VP of Basketball Operations,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,medium
Utah Jazz,basketball_ops,Bart Taylor,VP of Player Personnel,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,medium
Utah Jazz,basketball_ops,Whitli Godderidge,VP of Basketball Operations,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,medium
Utah Jazz,analytics,George Rodman,Vice President of Analytics & Game Strategy,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Utah Jazz,analytics,Steven Schwartz,Vice President of Basketball Strategy,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Utah Jazz,analytics,Anthony So,"Director, Basketball Systems",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Utah Jazz,scouting,Marquis Newman,Director of Pro Scouting,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,medium
Utah Jazz,scouting,Luca Desta,VP of Global Scouting,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,medium
Utah Jazz,scouting,Andrew Mealey,Director of College Scouting,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,medium
Utah Jazz,coaching,Will Hardy,Head Coach,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,high
Utah Jazz,coaching,Chad Forcier,Assistant Coach,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,medium
Utah Jazz,coaching,Jason Terry,Assistant Coach,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,medium
Utah Jazz,medical,Eric Waters,Head Athletic Trainer,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,medium
Utah Jazz,medical,Erik Phillips,Director of Performance,https://basketball.realgm.com/nba/teams/Utah-Jazz/29/Rosters/Regular/2026,2026-09-19,medium
