team,role,name,title,source_url,as_of,confidence
Washington Wizards,ownership,Ted Leonsis,Chairman & Governor,https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,president,Michael Winger,President of Monumental Basketball,https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,gm,Will Dawkins,General Manager,https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,basketball_ops,John Thompson III,Senior Vice President of Monumental Basketball,https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,basketball_ops,Travis Schlenk,"Senior Vice President, Player Personnel",https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,basketball_ops,Amber Nichols,Vice President of Basketball Operations and Personnel,https://www.hoopsrumors.com/2026/09/eastern-notes-nichols-wizards-hawks-pistons-bulls.html,2026-09-19,medium
Washington Wizards,basketball_ops,Frank Ross,"Vice President, College Personnel",https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,basketball_ops,Johnny Rogers,"Vice President, Pro Personnel",https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,scouting,Tony DiLeo,"Senior Director, College Personnel",https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,scouting,Antawn Jamison,"Senior Director, Pro Personnel",https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,scouting,Teon Watson,"Director, Scouting Operations",https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,scouting,Alec Arnault,"Director, Personnel Intelligence",https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,analytics,Ben Eidelberg,"Director, Strategy & Analytics",https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,analytics,Zain Jafri,Data Scientist,https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,analytics,Samuel Kaplan,"Director, Salary Cap & Strategy",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Washington Wizards,analytics,Jacob Goldstein,"Manager, Basketball Research",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Washington Wizards,analytics,Michael Hartman,"Vice President, Basketball Operations / Strategy & Development",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Washington Wizards,medical,Dr. Michael Ashton,"Director, Player Health",https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,medical,Powell Bernhardt,Senior Physical Therapist,https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,medical,Carlos Bustamante,Athletic Trainer,https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,medical,Kyle Moschkin,Strength & Conditioning Coach,https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,coaching,Brian Keefe,Head Coach,https://www.nba.com/wizards/staff-directory,2026-09-19,high
Washington Wizards,business,Jim Van Stone,Chief Commercial Officer / President of Business Operations,https://basketball.realgm.com/nba/teams/Washington-Wizards/30/staff-members/Current/grid,2026-09-19,medium
Washington Wizards,business,Daniel Medina,Chief Medical Officer,https://basketball.realgm.com/nba/teams/Washington-Wizards/30/staff-members/Current/grid,2026-09-19,medium
Washington Wizards,business,Abby Blomstrom,Executive Vice President / General Counsel,https://basketball.realgm.com/nba/teams/Washington-Wizards/30/staff-members/Current/grid,2026-09-19,medium
Washington Wizards,gm,Will Dawkins,General Manager (BBRef / personnel executive),https://www.basketball-reference.com/executives/,2026-09-19,high
