abbr,english_name,team_role,team_hex,team_hex_source_url,team_hex_confidence,paint_brand,paint_name,paint_hex,paint_source_url,distance_metric,distance,distance_euclidean_rgb,match_rank_within_brand,access_date,notes
ATL,Atlanta Hawks,primary,#C8102E,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Full Of Life,#DE592F,https://www.dulux.com.au/colour/full-of-life,CIE76_DeltaE_Lab,24.411,76.25,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
ATL,Atlanta Hawks,primary,#C8102E,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Hibiscus,#DD3848,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,9.677,52.125,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
ATL,Atlanta Hawks,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
ATL,Atlanta Hawks,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
ATL,Atlanta Hawks,accent,#FDB927,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Dancing Daisy,#EFC357,https://www.dulux.com.au/colour/dancing-daisy,CIE76_DeltaE_Lab,19.202,50.99,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
ATL,Atlanta Hawks,accent,#FDB927,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Spectra Yellow,#F7B718,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,3.072,16.279,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
BKN,Brooklyn Nets,primary,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Te Kuiti,#242322,https://www.dulux.com.au/colour/te-kuiti,CIE76_DeltaE_Lab,13.811,60.638,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
BKN,Brooklyn Nets,primary,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,PANTONE 532-C,#1C1F2A,https://github.com/bconglet/Pantoner/blob/master/csv/pantone-coated.csv,CIE76_DeltaE_Lab,14.38,59.237,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
BKN,Brooklyn Nets,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
BKN,Brooklyn Nets,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
