season,announced_date,salary_cap_usd,tax_level_usd,min_team_salary_usd,first_apron_usd,second_apron_usd,non_taxpayer_mle_usd,taxpayer_mle_usd,room_mle_usd,source_url,source_title,as_of,confidence,notes
2016-17,2016-07-02,94143000,113287000,84729000,,,5628000,3477000,2898000,https://pr.nba.com/nba-salary-cap-2016-17-season/,NBA salary cap for 2016-17 season set at $94.143 million,2026-09-20,HIGH,Official NBA Communications. Pre–named First/Second Apron era; tax apron existed under prior CBA but dollar apron not in this PR.
2017-18,2017-06-30,99093000,119266000,89184000,,,8406000,5192000,4328000,https://pr.nba.com/nba-salary-cap-2017-18-season/,NBA salary cap for 2017-18 season set at $99.093 million,2026-09-20,HIGH,Official PR. 2017 CBA tax apron not published as a dollar figure here. Second apron N/A.
2018-19,2018-06-30,101869000,123733000,91682000,,,8641000,5337000,4449000,https://pr.nba.com/nba-salary-cap-2018-19-season/,NBA salary cap for 2018-19 season set at $101.869 million,2026-09-20,HIGH,Official PR. Apron dollars not stated.
2019-20,2019-06-29,109140000,132627000,98226000,,,9258000,5718000,4767000,https://pr.nba.com/nba-salary-cap-for-2019-20-season-set-at-109-140-million/,NBA Salary Cap for 2019-20 season set at $109.140 million,2026-09-20,HIGH,Official PR. Apron dollars not stated.
2020-21,2020-11-09,109140000,132627000,,,,,,,https://pr.nba.com/nba-nbpa-2020-21-season/,NBA and NBPA agree on 2020-21 season start and adjustments to CBA,2026-09-20,HIGH,COVID CBA adjustment PR: Cap and Tax held flat vs 2019-20. MLE/min/apron not restated — left blank.
2021-22,2021-08-02,112414000,136606000,101173000,,,9536000,5890000,4910000,https://pr.nba.com/nba-salary-cap-for-2021-22-season-set-at-112-414-million/,NBA Salary Cap for 2021-22 season set at $112.414 million,2026-09-20,HIGH,Official PR (delayed free agency). Apron dollars not stated.
2022-23,2022-06-30,123655000,150267000,111290000,,,10490000,6479000,5401000,https://pr.nba.com/nba-salary-cap-2022-23-season/,NBA Salary Cap for 2022-23 season set at $123.655 million,2026-09-20,HIGH,Official PR. Last season before 2023 CBA second apron; First/Second Apron not named in this release.
2023-24,2023-06-30,136021000,165294000,122418000,172346000,182794000,12405000,5000000,7723000,https://pr.nba.com/nba-salary-cap-for-2023-24-season-set-at-136-021-million/,NBA Salary Cap for 2023-24 season set at $136.021 million,2026-09-20,HIGH,Official PR. First season with published First Apron + Second Apron under 2023 CBA.
2024-25,2024-06-30,140588000,170814000,126529000,178132000,188931000,12822000,5168000,7983000,https://pr.nba.com/2024-25-nba-season-salary-cap/,NBA Salary Cap for 2024-25 season set at $140.588 million,2026-09-20,HIGH,Official PR. Full release body fetched 2026-09-20.
2025-26,2025-06-30,154647000,187895000,139182000,195945000,207824000,14104000,5685000,8781000,https://pr.nba.com/nba-salary-cap-2025-26-season/,NBA Salary Cap for 2025-26 season set at $154.647 million,2026-09-20,HIGH,Official PR. Full release body fetched 2026-09-20.
2026-27,2026-06-30,164961000,200428000,148465000,209015000,221686000,15044000,6064000,9366000,https://pr.nba.com/2026-27-salary-cap/,NBA sets Salary Cap for 2026-27 season at $164.961 million,2026-09-20,HIGH,Official PR. Full release body fetched 2026-09-20.
