team_id,abbr,pattern_tags,letter_count,league_id,notes
nba_celtics_q131371,BOS,city_plus_nickname|trigram,3,nba,
nba_nets_q976396,BKN,city_plus_nickname|trigram,3,nba,
nba_knicks_q131364,NYK,city_plus_nickname|state|trigram,3,nba,Contains state code
nba_76ers_q138089,PHI,city_plus_nickname|trigram,3,nba,
nba_raptors_q329816,TOR,city_plus_nickname|trigram,3,nba,
nba_bulls_q128109,CHI,city_plus_nickname|trigram,3,nba,
nba_cavaliers_q162990,CLE,city_plus_nickname|trigram,3,nba,
nba_pistons_q169637,DET,city_plus_nickname|trigram,3,nba,
nba_pacers_q170329,IND,city_plus_nickname|state|trigram,3,nba,Contains state code
nba_bucks_q169165,MIL,city_plus_nickname|state|trigram,3,nba,Contains state code
nba_hawks_q140558,ATL,city_plus_nickname|trigram,3,nba,
nba_hornets_q162954,CHA,city_plus_nickname|trigram,3,nba,
nba_heat_q169138,MIA,city_plus_nickname|state|trigram,3,nba,Contains state code
nba_magic_q180950,ORL,city_plus_nickname|state|trigram,3,nba,Contains state code
nba_wizards_q161337,WAS,city_plus_nickname|state|trigram,3,nba,Contains state code
nba_nuggets_q165529,DEN,city_plus_nickname|trigram,3,nba,
nba_timberwolves_q157376,MIN,city_plus_nickname|state|trigram,3,nba,Contains state code
nba_thunder_q180748,OKC,city_plus_nickname|state|trigram,3,nba,Contains state code
nba_blazers_q180950,POR,city_plus_nickname|trigram,3,nba,
nba_jazz_q166105,UTA,city_plus_nickname|state|trigram,3,nba,Contains state code
nba_warriors_q169661,GSW,city_plus_nickname|trigram,3,nba,
nba_clippers_q976893,LAC,city_plus_nickname|state|trigram,3,nba,Contains state code
nba_lakers_q121661,LAL,city_plus_nickname|state|trigram,3,nba,Contains state code
nba_suns_q164177,PHX,city_plus_nickname|trigram,3,nba,
nba_kings_q166105,SAC,city_plus_nickname|trigram,3,nba,
nba_mavericks_q169542,DAL,city_plus_nickname|trigram,3,nba,
nba_rockets_q160893,HOU,city_plus_nickname|trigram,3,nba,
nba_grizzlies_q169950,MEM,city_plus_nickname|trigram,3,nba,
nba_pelicans_q180950,NOP,city_plus_nickname|trigram,3,nba,
nba_spurs_q164177,SAS,city_plus_nickname|trigram,3,nba,
wnba_dream_q140558,ATL,city_plus_nickname|trigram,3,wnba,
wnba_sky_q131371,CHI,city_plus_nickname|trigram,3,wnba,
wnba_sun_q162990,CON,city_plus_nickname|state|trigram,3,wnba,Contains state code
wnba_wings_q169637,DAL,city_plus_nickname|trigram,3,wnba,
wnba_fever_q170329,IND,city_plus_nickname|state|trigram,3,wnba,Contains state code
wnba_aces_q169165,LV,city_initials|trigram,2,wnba,Initials of Las Vegas
wnba_sparks_q1441324,LA,city_initials|state|trigram,2,wnba,Initials of Los Angeles; Contains state code
wnba_lynx_q140558,MIN,city_plus_nickname|state|trigram,3,wnba,Contains state code
wnba_liberty_q1426420,NY,state|trigram,2,wnba,Contains state code
wnba_mercury_q162954,PHX,city_plus_nickname|trigram,3,wnba,
wnba_storm_q169138,SEA,city_plus_nickname|trigram,3,wnba,
wnba_mystics_q180950,WAS,city_plus_nickname|state|trigram,3,wnba,Contains state code
euroleague_anadolu_efes,AE,trigram|other,2,euroleague,
euroleague_asvel,ASV,trigram|other,3,euroleague,
euroleague_baskonia,BAS,city_plus_nickname|trigram,3,euroleague,
euroleague_besiktas,BEŞ,city_plus_nickname|trigram,3,euroleague,
euroleague_crvena_zvezda,CZ,trigram|other,2,euroleague,
euroleague_dubai,DUB,city_plus_nickname|trigram,3,euroleague,
euroleague_olimpia_milano,OM,trigram|other,2,euroleague,
euroleague_barcelona,BAR,nickname_clip|trigram,3,euroleague,Clip of Barcelona
euroleague_bayern,BAY,trigram|other,3,euroleague,
euroleague_fenerbahce,FEN,city_plus_nickname|trigram,3,euroleague,
euroleague_hapoel_tel_aviv,HTA,city_plus_nickname|trigram,3,euroleague,
euroleague_maccabi_tel_aviv,MTA,city_plus_nickname|trigram,3,euroleague,
euroleague_olympiacos,OLY,city_plus_nickname|trigram,3,euroleague,
euroleague_panathinaikos,PAN,city_plus_nickname|state|trigram,3,euroleague,Contains state code
euroleague_paris,PAR,city_plus_nickname|state|trigram,3,euroleague,Contains state code
euroleague_partizan,PAR2,state|tetragram,4,euroleague,Contains state code
euroleague_real_madrid,RM,trigram|other,2,euroleague,
euroleague_valencia,VAL,city_plus_nickname|trigram,3,euroleague,
euroleague_virtus,VB,trigram|other,2,euroleague,
euroleague_zalgiris,ŽAL,city_plus_nickname|trigram,3,euroleague,
euroleague_women_fenerbahce,FEN,city_plus_nickname|trigram,3,euroleague_women,
euroleague_women_galatasaray,GAL,city_plus_nickname|trigram,3,euroleague_women,
euroleague_women_valencia,VAL,city_plus_nickname|trigram,3,euroleague_women,
euroleague_women_zaragoza,ZAR,nickname_clip|trigram,3,euroleague_women,Clip of Zaragoza
euroleague_women_basket_landes,LAN,nickname_clip|state|trigram,3,euroleague_women,Clip of Landes; Contains state code
euroleague_women_bourges,BOU,trigram|other,3,euroleague_women,
euroleague_women_usk_praha,UP,trigram|other,2,euroleague_women,
euroleague_women_schio,SCH,nickname_clip|trigram,3,euroleague_women,Clip of Schio
euroleague_women_lublin,LUB,nickname_clip|trigram,3,euroleague_women,Clip of Lublin
euroleague_women_athinaikos,ATH,city_plus_nickname|trigram,3,euroleague_women,
euroleague_women_rapid_bucuresti,RAP,trigram|other,3,euroleague_women,
euroleague_women_emlak_konut,EK,trigram|other,2,euroleague_women,
euroleague_women_girona,GIR,nickname_clip|trigram,3,euroleague_women,Clip of Girona
euroleague_women_flammes_carolo,FC,trigram|other,2,euroleague_women,
euroleague_women_zabiny_brno,ŽB,trigram|other,2,euroleague_women,
euroleague_women_reyer_venezia,RV,trigram|other,2,euroleague_women,
