team_slug,team_name,country,structure,controlling_entity,buyer_structure_align,as_of,source_url,source_title,confidence,notes
anadolu_efes,Anadolu Efes Istanbul,TR,multi_sport_club,Anadolu Group / Anadolu Efes Spor Kulübü,association,2026-09-19,https://anadoluefessk.org/en/club-history,Anadolu Efes Sports Club History,HIGH,"Corporate-backed multi-sport basketball club founded 1976 by Anadolu Group (ex-Efes Pilsen); not a freestanding private sale vehicle. Parent industrial group patronage, not a market franchise sale."
asvel,LDLC ASVEL Villeurbanne,FR,majority,Tony Parker (Infinity Nine Sport) — PENDING sale talks,majority,2026-09-19,https://www.france24.com/en/20140321-tony-parker-buys-pro-basketball-team-asvel-france-nba-spurs,France 24: Parker buys ASVEL (2014),HIGH,"Parker majority since 2014 via Infinity Nine Sport (~80% reported contemporaneously). As of access date, press reports advanced but unclosed talks with Joey/Jesse Buss group — do NOT treat as closed control. Price of 2014 deal confidential."
baskonia,Baskonia Vitoria-Gasteiz,ES,majority,Josean Querejeta / Lazkaokoa (Saski Baskonia S.A.D.),majority,2026-09-19,https://www.marca.com/sport-business/2playbook/2026/06/24/duenos-acb-juan-roig-bancos-empresas-locales-clubes-laliga.html,Marca/2Playbook: ACB owners (Querejeta/Baskonia),HIGH,"Spanish SAD (private company). Querejeta has been president since Oct 1988; controlling shareholder via Lazkaokoa (press cites ~60%+). Multi-club sports group with Deportivo Alavés — still private SAD control, not a member association."
besiktas,Beşiktaş Istanbul,TR,multi_sport_club,Beşiktaş Jimnastik Kulübü (Basketbol A.Ş.),association,2026-09-19,https://bjk.com.tr/sirketlerimiz/index/basketbol_as/,Beşiktaş JK — Basketbol A.Ş. şirketlerimiz (official),MEDIUM,Basketball branch of Beşiktaş JK multi-sport club; club lists Beşiktaş Basketbol Yatırımları Sanayi ve Ticaret A.Ş. under JK companies. Member/association multi-sport control — not a pure private franchise sale. Share % vs JK still MEDIUM pending Turkish registry refresh.
crvena_zvezda,Crvena zvezda Meridianbet Belgrade,RS,multi_sport_club,SD Crvena zvezda (sports society) / KK Crvena zvezda,association,2026-09-19,https://kkcrvenazvezda.rs/club,KK Crvena zvezda — O klubu (official),HIGH,Basketball club is a member club of Sportsko društvo Crvena zvezda (founded 4 Mar 1945 per club site). Institutional/association model with heavy state/city sport funding historically — not a private equity sale narrative.
dubai,Dubai Basketball,AE,majority,Abdulla Saeed Juma Al Naboodah (founder/chairman); co-founder Dejan Kamenjašević,majority,2026-09-19,https://dubaibasketball.com/about/,Dubai Basketball — About,HIGH,Privately owned new franchise (founded 2023). Club site: privately owned entity led by Al Naboodah. EuroLeague license from 2025-26 (to 2030). No public sale price — greenfield founding.
olimpia_milano,EA7 Emporio Armani Milan,IT,majority,Giorgio Armani / Armani group (Fondazione Armani succession context),majority,2026-09-19,https://www.olimpiamilano.com/1996-2011-dallo-scudetto-di-blackman-allarrivo-di-giorgio-armani/,Olimpia Milano club history (Armani arrival),HIGH,Private company control since June 2008 Armani/Simint takeover from Corbelli (~€4.09M for ~80% contemporaneous press). Giorgio Armani died 2025; ownership continuity via Armani structures — confirm succession vehicle on refresh. Not a multi-sport member association.
barcelona,FC Barcelona,ES,association,FC Barcelona (member-owned club) — basketball section,association,2026-09-19,https://www.fcbarcelona.com/en/basketball/history,Barça Basketball History — FC Barcelona Official Channel,HIGH,Basketball section of member-owned multi-sport club FC Barcelona (section founded 24 Aug 1926 per club history). Control is association/members — not a standalone private sale.
bayern,FC Bayern Munich,DE,association,FC Bayern München e.V. (sole shareholder of Basketball GmbH),association,2026-09-19,https://www.easycredit-bbl.de/de/n/news/2014/oktober/fc-bayern-basketball-in-gmbh-ueberfuehrt,easyCredit BBL: Bayern Basketball GmbH spin-off 2014,HIGH,Professional basketball spun into FC Bayern München Basketball GmbH (1 Oct 2014); e.V. remains sole shareholder. Association control of the GmbH — not a private sale of the club.
fenerbahce,Fenerbahçe Beko Istanbul,TR,multi_sport_club,Fenerbahçe Spor Kulübü,association,2026-09-19,https://www.fenerbahce.org/club/achievements/basketball-men,Fenerbahçe Spor Kulübü — Men's basketball achievements (official),HIGH,Men's basketball department of Fenerbahçe SK multi-sport club. Association/multi-sport control — not a pure private franchise sale. (Football A.Ş. is separate listed vehicle; basketball remains under SK.)
hapoel_tel_aviv,Hapoel IBI Tel Aviv,IL,group,Yannay Sport (81% of Red Management Basket) + Hapoel Ussishkin Association (19%),group,2026-09-19,https://hapoelbc.com/en/ownershipstructure/,Hapoel IBI Tel Aviv official: new ownership structure,HIGH,"Official club release: within Yannay Sport — Ofer Yannay 40%, Gili Raanan 20%, Micky Malka 20%, Alan Howard 20%. Day-to-day via Chairman Stav Shacham. Private group + association minority. No public cash figure for restructuring."
maccabi_tel_aviv,Maccabi Playtika Tel Aviv,IL,group,Recanati family (~58% reported controlling) — ROFR dispute pending,group,2026-09-19,https://www.ynetnews.com/sport/article/hjwogtq7fe,Ynet: Recanati takes control in $50M deal,MEDIUM,"Private shareholder company. July 2026: Recanati reported buying Federman/Fedanco stake for ~$50M → ~58%; Deitz ~17.5%, Mizrahi ~14.5%, Ashkenazy ~10% (Ynet). Subsequent ROFR/arbitration press (Mizrahi/Deitz vs further transfer) — treat control narrative carefully until resolved. Convert to EUR only when FX-dated; leave EUR blank."
olympiacos,Olympiacos Piraeus,GR,majority,Panagiotis & Giorgos Angelopoulos (Olympiacos BC KAE),majority,2026-09-19,https://www.olympiacosbc.gr/en/club/presidents.html,Olympiacos BC — Managers/Presidents,HIGH,"Professional basketball is a private KAE owned by Angelopoulos brothers (full owners from 2009; involved since 2004). Brand/identity sits under multi-sport Olympiacos CFP — but equity control of the basketball company is private majority, not member association."
panathinaikos,Panathinaikos AKTOR Athens,GR,majority,Dimitris Giannakopoulos (Panathinaikos BC KAE),majority,2026-09-19,https://www.paobc.gr/en/pavlos-giannakopoulos-1929-2018-o-patriarchis-tou-panathinaikou-ma,Pavlos Giannakopoulos 1929–2018 — Panathinaikos BC official memorial,HIGH,Professional basketball KAE owned by Giannakopoulos family (Pavlos era from late 1980s; Dimitris controlling after ~2012 succession). Multi-sport PAO brand; equity is private majority. Club memorial page anchors family control narrative.
paris,Paris Basketball,FR,group,Eric Schwartz (majority owner); David Kahn (president/co-owner); Omar Sy (co-owner from 2025),group,2026-09-19,https://parisbasketball.com/en/2025/06/omar-sy-becomes-co-owner-of-paris-basketball/,Paris Basketball official: Omar Sy co-owner,HIGH,Private company (Paris Basketball Investments). Founded 12 Jul 2018 by Kahn & Schwartz (HTV Pro B licence move). Omar Sy added as co-owner Jun 2025 — stake % / cash not disclosed.
partizan,Partizan Mozzart Bet Belgrade,RS,multi_sport_club,JSD Partizan / KK Partizan,association,2026-09-19,https://partizanjsd.rs/klubovi/kosarkaski-klub-partizan/,Košarkaški klub Partizan — JSD Partizan official,HIGH,Basketball club within Jugoslovensko sportsko društvo Partizan multi-sport umbrella (founded 1945). Institutional/association model parallel to Zvezda — not a private PE franchise sale.
real_madrid,Real Madrid,ES,association,Real Madrid Club de Fútbol (member-owned) — basketball section,association,2026-09-19,https://www.realmadrid.com/en-US/the-club/history/basketball/first-team/chronology,Real Madrid CF official — Basketball History chronology,HIGH,Basketball section of member-owned multi-sport club Real Madrid CF (section founded 1931). Association control — not a standalone private sale.
valencia,Valencia Basket,ES,majority,Juan Roig / Forvasa (Valencia Basket Club S.A.D.),majority,2026-09-19,https://www.marca.com/sport-business/2playbook/2026/06/24/duenos-acb-juan-roig-bancos-empresas-locales-clubes-laliga.html,Marca/2Playbook: Forvasa 71.61% Valencia Basket,HIGH,Spanish SAD. Mercadona owner Juan Roig controlling via Forvasa (~71.61% cited 2026 ACB owners roundup). Long-running private control; 2009 exit talk did not complete as a market sale.
virtus,Virtus Segafredo Bologna,IT,majority,Massimo Zanetti (Segafredo),majority,2026-09-19,https://basketnews.com/news-226166-second-largest-virtus-bologna-shareholder-exits-after-two-years.html,BasketNews: Gherardi exits; Zanetti full control,HIGH,Private company. Zanetti entered capital mid-2010s (sponsor 2016; ~40%+ from 2017 capital increase; sole shareholder path 2021; bought back Gherardi stake Jun 2025 for ~€5.8M per Italian press). Small supporters' foundation residual. Zanetti publicly open to serious sale offers — none closed as of access date.
zalgiris,Žalgiris Kaunas,LT,majority,Paulius Motiejūnas (55%); Tesonet (45%),majority,2026-09-19,https://www.eurohoops.net/en/euroleague/1964367/motiejunas-regains-majority-stake-in-zalgiris/,Eurohoops: Motiejūnas regains majority (2026),HIGH,Private Žalgiris Group. Motiejūnas consolidated post-2013 Ūkio Bankas/Romanov collapse; Tesonet took 25% Apr 2022 (later rose); May 2026 Motiejūnas regained 55% via contractual option after leaving EuroLeague CEO role. Kaunas municipality supports arena/ecosystem but is not listed as equity owner.
