event_id,team_slug,team_name,country,event_date,event_type,seller,buyer,buyer_structure,price_eur_reported,price_notes,source_url,source_title,confidence,notes
AE-1976-founding,anadolu_efes,Anadolu Efes Istanbul,TR,1976,founding,,Anadolu Group (Efes Pilsen sports club),association,,Greenfield sports-club founding under Anadolu Group — not a market sale,https://anadoluefessk.org/en/club-history,Anadolu Efes Sports Club History,HIGH,Club founded 1976 via Anadolu Group acquisition/rebrand of Kadıköy Spor as Efes Pilsen.
AE-2011-rebrand,anadolu_efes,Anadolu Efes Istanbul,TR,2011,rebrand,,Anadolu Efes Spor Kulübü (same parent),association,,,https://anadoluefessk.org/en/club-history,Anadolu Efes Sports Club History,HIGH,Efes Pilsen → Anadolu Efes name change; ownership continuity under Anadolu Group.
AE-assoc-control,anadolu_efes,Anadolu Efes Istanbul,TR,1976,association_control,,Anadolu Group / Anadolu Efes SK,association,,Not a sale — corporate multi-sport club control,https://anadoluefessk.org/en/club-history,Anadolu Efes Sports Club History,HIGH,Current structure row: multi_sport_club. Do not invent a private franchise sale.
ASV-1948-founding,asvel,LDLC ASVEL Villeurbanne,FR,1948-12,founding,,ASVEL founders (Pierre Barbier / Pierre Millet; Éveil Lyonnais × AS Villeurbanne merger),association,,,https://asvelbasketasso.com/histoire-palmares,ASVEL Basket Association — Histoire et Palmarès,HIGH,Official association history: ASVEL born Dec 1948 from merger of Éveil Lyonnais and AS Villeurbanne; first president Pierre Millet. Replaces Wikipedia lead.
ASV-2014-majority,asvel,LDLC ASVEL Villeurbanne,FR,2014-06-30,majority_stake,Prior ASVEL shareholders,"Tony Parker / Infinity Nine Sport (~80% reported); minority investors incl. Finley, Maggette",majority,,Transaction amount confidential (Les Echos / contemporaneous); do not invent,https://www.lesechos.fr/2014/07/tony-parker-a-repris-le-club-de-basket-de-villeurbanne-306023,Les Echos: Tony Parker a repris ASVEL (2014),HIGH,Parker becomes majority owner and president. France 24 / Hoops Rumors corroborate June 2014 close.
ASV-2026-pending-sale,asvel,LDLC ASVEL Villeurbanne,FR,2026-08,other,Tony Parker / ASVEL shareholders (reported),Joey & Jesse Buss investor group (talks — NOT closed),unknown,,PENDING: press cites valuation talks ~€60–80M (not a closed price). Do not treat as control change.,https://sportando.basketball/en/buss-brothers-in-lyon-as-asvel-sale-talks-advance/,Sportando: Buss brothers in Lyon as ASVEL sale talks advance,MEDIUM,Advanced talks reported Aug 2026 (Le Progrès / BeBasket via Sportando/Eurohoops). Timeline may slip to late 2026. NOT closed as of 2026-09-19.
BAS-1952-founding,baskonia,Baskonia Vitoria-Gasteiz,ES,1952,founding,,Club Deportivo Vasconia / Baskonia founders,association,,,https://elpais.com/ccaa/2013/10/28/paisvasco/1382953127_307128.html,El País/EFE Querejeta 25 years (club continuity context); founding 1952 still secondary,MEDIUM,Club origins 1952 as Club Deportivo Vasconia / Baskonia. Querejeta presidency from 1988–89 well documented (El País); exact 1952 founding archive still thin — MEDIUM.
BAS-1988-takeover,baskonia,Baskonia Vitoria-Gasteiz,ES,1988-10,takeover,,Josean Querejeta (presidency / subsequent controlling shareholder),majority,,GAP: 1988 was uncontested presidential succession + SAD era — cash purchase price for control stake not publicly documented as a market sale,https://elpais.com/ccaa/2013/10/28/paisvasco/1382953127_307128.html,El País: Querejeta 25 years as Baskonia president (2013),HIGH,Querejeta becomes president Oct 1988 after Santamaría resignation. Later emerges as controlling SAD shareholder (Lazkaokoa). Not framed as a classic auction sale.
BAS-sad-structure,baskonia,Baskonia Vitoria-Gasteiz,ES,1988,other,,Saski Baskonia S.A.D. (private company form),majority,,,https://elpais.com/ccaa/2013/10/28/paisvasco/1382953127_307128.html,Josean Querejeta cumple 25 años como presidente del Baskonia (El País / EFE),HIGH,"Querejeta assumed presidency 1988–89 season (El País 25-year feature). Club operates as Spanish SAD under Querejeta/Lazkaokoa control; multi-club group with Alavés. Structure event, not a market sale."
BES-1933-founding,besiktas,Beşiktaş Istanbul,TR,1933,founding,,Beşiktaş Jimnastik Kulübü basketball branch,association,,,https://bjk.com.tr/sirketlerimiz/index/basketbol_as/,Beşiktaş JK — Basketbol A.Ş. şirketlerimiz (official club companies index),MEDIUM,Basketball branch of Beşiktaş JK multi-sport club. Primary club companies page cited (Basketbol Yatırımları A.Ş. under JK). Share % vs JK still MEDIUM pending Turkish registry refresh.
