abbr,english_name,primary_hex,secondary_hex,accent_hex,quaternary_hex,source_url,source_type,confidence,access_date,notes
ATL,Atlanta Hawks,#C8102E,#FFFFFF,#FDB927,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
BKN,Brooklyn Nets,#000000,#FFFFFF,#FFFFFF,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
BOS,Boston Celtics,#008348,#FFFFFF,#FFFFFF,#008348,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
CHA,Charlotte Hornets,#00788C,#FFFFFF,#1D1160,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
CHI,Chicago Bulls,#CE1141,#FFFFFF,#000000,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
CLE,Cleveland Cavaliers,#860038,#FFFFFF,#BC945C,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
DAL,Dallas Mavericks,#0064B1,#FFFFFF,#BBC4CA,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
DEN,Denver Nuggets,#0E2240,#FFFFFF,#FEC524,#0E2240,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
DET,Detroit Pistons,#1D428A,#FFFFFF,#C8102E,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
GSW,Golden State Warriors,#1D428A,#FFFFFF,#FDB927,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
HOU,Houston Rockets,#CE0E2D,#FFFFFF,#FFD520,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
IND,Indiana Pacers,#0C2340,#FFFFFF,#FFD520,#0C2340,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
LAC,Los Angeles Clippers,#12173F,#FFFFFF,#C8102E,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
LAL,Los Angeles Lakers,#31006F,#FFFFFF,#FDB927,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
MEM,Memphis Grizzlies,#5D76A9,#FFFFFF,#12173F,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
MIA,Miami Heat,#000000,#FFFFFF,#98002E,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
MIL,Milwaukee Bucks,#00471B,#FFFFFF,#EEE1C6,#00471B,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
MIN,Minnesota Timberwolves,#1D428A,#FFFFFF,#009A44,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
NOP,New Orleans Pelicans,#0C2340,#FFFFFF,#B9975B,#0C2340,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
