team_id,abbr,english_name,wikidata_qid,zh_hans,zh_hant,city_zh_hans,city_zh_hant,nickname_zh_hans,nickname_zh_hant,zh_cn_label,zh_tw_label,zh_hk_label,zhwiki_title,source_url_hans,source_url_hant,city_source_url,access_date,notes
nba_celtics_q131371,BOS,Boston Celtics,Q131371,波士顿凯尔特人,波士頓塞爾提克,波士顿,波士頓,凯尔特人,塞爾提克,波士顿凯尔特人,波士頓塞爾提克,波士頓塞爾特人,波士顿凯尔特人,https://zh.wikipedia.org/wiki/%E6%B3%A2%E5%A3%AB%E9%A1%BF%E5%87%AF%E5%B0%94%E7%89%B9%E4%BA%BA,https://www.wikidata.org/wiki/Q131371,https://www.wikidata.org/wiki/Q100,2026-09-20,zh_hant = Wikidata label zh-tw (Taiwan media convention); HK variant (Wikidata zh-hk): 波士頓塞爾特人; zh-hant generic differs from zh-tw: 波士頓凱爾特人; city labels from Wikidata Q100 (https://www.wikidata.org/wiki/Q100); nickname_zh_hans = remainder after city prefix; nickname_zh_hant = remainder after city prefix
nba_nets_q572134,BKN,Brooklyn Nets,Q572134,布鲁克林篮网,布魯克林籃網,布鲁克林区,布魯克林,篮网,籃網,布鲁克林篮网,布魯克林籃網,,布鲁克林篮网,https://zh.wikipedia.org/wiki/%E5%B8%83%E9%B2%81%E5%85%8B%E6%9E%97%E7%AF%AE%E7%BD%91,https://www.wikidata.org/wiki/Q572134,https://www.wikidata.org/wiki/Q18419,2026-09-20,zh_hant = Wikidata label zh-tw (Taiwan media convention); city labels from Wikidata Q18419 (https://www.wikidata.org/wiki/Q18419); nickname_zh_hans split using prefix form '布鲁克林' (differs from Wikidata city label '布鲁克林区'); nickname_zh_hant = remainder after city prefix
nba_knicks_q131364,NYK,New York Knicks,Q131364,纽约尼克斯,紐約尼克,纽约,紐約,尼克斯,尼克,纽约尼克斯,紐約尼克,紐約人,纽约尼克斯,https://zh.wikipedia.org/wiki/%E7%BA%BD%E7%BA%A6%E5%B0%BC%E5%85%8B%E6%96%AF,https://www.wikidata.org/wiki/Q131364,https://www.wikidata.org/wiki/Q60,2026-09-20,zh_hant = Wikidata label zh-tw (Taiwan media convention); HK variant (Wikidata zh-hk): 紐約人; city labels from Wikidata Q60 (https://www.wikidata.org/wiki/Q60); nickname_zh_hans = remainder after city prefix; nickname_zh_hant = remainder after city prefix
nba_76ers_q138089,PHI,Philadelphia 76ers,Q138089,費城76人,費城76人,费城,費城,76人,76人,,費城76人,費城76人,费城76人,https://zh.wikipedia.org/wiki/%E8%B4%B9%E5%9F%8E76%E4%BA%BA,https://www.wikidata.org/wiki/Q138089,https://www.wikidata.org/wiki/Q1345,2026-09-20,zh_hant = Wikidata label zh-tw (Taiwan media convention); zh_hans characters identical to zh_hant; city labels from Wikidata Q1345 (https://www.wikidata.org/wiki/Q1345); nickname_zh_hans split using prefix form '費城' (differs from Wikidata city label '费城'); nickname_zh_hant = remainder after city prefix
nba_raptors_q132880,TOR,Toronto Raptors,Q132880,多伦多猛龙,多倫多暴龍,多伦多,多倫多,猛龙,暴龍,多伦多猛龙,多倫多暴龍,多倫多速龍,多伦多猛龙,https://zh.wikipedia.org/wiki/%E5%A4%9A%E4%BC%A6%E5%A4%9A%E7%8C%9B%E9%BE%99,https://www.wikidata.org/wiki/Q132880,https://www.wikidata.org/wiki/Q172,2026-09-20,zh_hant = Wikidata label zh-tw (Taiwan media convention); HK variant (Wikidata zh-hk): 多倫多速龍; zh-hant generic differs from zh-tw: 多倫多猛龍; city labels from Wikidata Q172 (https://www.wikidata.org/wiki/Q172); nickname_zh_hans = remainder after city prefix; nickname_zh_hant = remainder after city prefix
nba_bulls_q128109,CHI,Chicago Bulls,Q128109,芝加哥公牛,芝加哥公牛,芝加哥,芝加哥,公牛,公牛,芝加哥公牛,芝加哥公牛,芝加哥公牛,芝加哥公牛,https://zh.wikipedia.org/wiki/%E8%8A%9D%E5%8A%A0%E5%93%A5%E5%85%AC%E7%89%9B,https://www.wikidata.org/wiki/Q128109,https://www.wikidata.org/wiki/Q1297,2026-09-20,zh_hant = Wikidata label zh-tw (Taiwan media convention); zh_hans characters identical to zh_hant; city labels from Wikidata Q1297 (https://www.wikidata.org/wiki/Q1297); nickname_zh_hans = remainder after city prefix; nickname_zh_hant = remainder after city prefix
nba_cavaliers_q162990,CLE,Cleveland Cavaliers,Q162990,克里夫兰骑士,克里夫蘭騎士,克利夫兰,克里夫蘭,骑士,騎士,克里夫兰骑士,克里夫蘭騎士,克里夫蘭騎士,克里夫兰骑士,https://zh.wikipedia.org/wiki/%E5%85%8B%E9%87%8C%E5%A4%AB%E5%85%B0%E9%AA%91%E5%A3%AB,https://www.wikidata.org/wiki/Q162990,https://www.wikidata.org/wiki/Q37320,2026-09-20,zh_hant = Wikidata label zh-tw (Taiwan media convention); city labels from Wikidata Q37320 (https://www.wikidata.org/wiki/Q37320); CLE city form variants: Wikidata zh-hans=克利夫兰; team label uses 克里夫兰 — nick split uses team-prefix form when present; nickname_zh_hans split using prefix form '克里夫兰' (differs from Wikidata city label '克利夫兰'); nickname_zh_hant = remainder after city prefix
nba_pistons_q169661,DET,Detroit Pistons,Q169661,底特律活塞,底特律活塞,底特律,底特律,活塞,活塞,底特律活塞,底特律活塞,底特律活塞,底特律活塞,https://zh.wikipedia.org/wiki/%E5%BA%95%E7%89%B9%E5%BE%8B%E6%B4%BB%E5%A1%9E,https://www.wikidata.org/wiki/Q169661,https://www.wikidata.org/wiki/Q12439,2026-09-20,zh_hant = Wikidata label zh-tw (Taiwan media convention); zh_hans characters identical to zh_hant; city labels from Wikidata Q12439 (https://www.wikidata.org/wiki/Q12439); nickname_zh_hans = remainder after city prefix; nickname_zh_hant = remainder after city prefix
nba_pacers_q170329,IND,Indiana Pacers,Q170329,印第安纳步行者,印第安納溜馬,印第安纳州,印第安納州,步行者,溜馬,印第安纳步行者,印第安納溜馬,印第安納溜馬,印第安纳步行者,https://zh.wikipedia.org/wiki/%E5%8D%B0%E7%AC%AC%E5%AE%89%E7%BA%B3%E6%AD%A5%E8%A1%8C%E8%80%85,https://www.wikidata.org/wiki/Q170329,https://www.wikidata.org/wiki/Q1415,2026-09-20,zh_hant = Wikidata label zh-tw (Taiwan media convention); city labels from Wikidata Q1415 (https://www.wikidata.org/wiki/Q1415); nickname_zh_hans split using prefix form '印第安纳' (differs from Wikidata city label '印第安纳州'); nickname_zh_hant split using prefix form '印第安納' (differs from Wikidata city/tw label '印第安納州')
nba_bucks_q169637,MIL,Milwaukee Bucks,Q169637,密尔沃基雄鹿,密爾瓦基公鹿,密尔沃基,密爾瓦基,雄鹿,公鹿,密尔沃基雄鹿,密爾瓦基公鹿,密爾沃基公鹿,密尔沃基雄鹿,https://zh.wikipedia.org/wiki/%E5%AF%86%E5%B0%94%E6%B2%83%E5%9F%BA%E9%9B%84%E9%B9%BF,https://www.wikidata.org/wiki/Q169637,https://www.wikidata.org/wiki/Q37836,2026-09-20,zh_hant = Wikidata label zh-tw (Taiwan media convention); HK variant (Wikidata zh-hk): 密爾沃基公鹿; city labels from Wikidata Q37836 (https://www.wikidata.org/wiki/Q37836); nickname_zh_hans = remainder after city prefix; nickname_zh_hant = remainder after city prefix
