event_id,team_abbr,team_name,event_date,event_type,seller,buyer,buyer_structure,price_usd_reported,price_notes,source_url,source_title,confidence,notes
ATL-1946-other,ATL,Buffalo Bisons / Tri-Cities Blackhawks,1946,other,,Ben Kerner & Leo Ferris,group,,GAP: NBL founding / early transfer terms not confirmed as a market sale,https://www.stargazette.com/story/news/local/2016/04/01/elmiras-leo-ferris-helped-shape-nba/82408904/,Elmira's Leo Ferris helped shape the NBA (Star-Gazette),HIGH,"Franchise origin: Buffalo Bisons (NBL) founded 1946 by Kerner, Ferris & B.W. Grafton; mid-season move to Moline as Tri-Cities Blackhawks. Star-Gazette primary local feature — not Wikipedia-only."
ATL-1951-relocation,ATL,Milwaukee Hawks,1951,relocation,,Ben Kerner (owner),sole,,,https://en.wikipedia.org/wiki/Ben_Kerner,Ben Kerner (Wikipedia; Tri-Cities→Milwaukee 1951),HIGH,Tri-Cities Blackhawks → Milwaukee Hawks under Kerner.
ATL-1955-relocation,ATL,St. Louis Hawks,1955,relocation,,Ben Kerner (owner),sole,,,https://en.wikipedia.org/wiki/Ben_Kerner,Ben Kerner (Wikipedia; Milwaukee→St. Louis 1955),HIGH,Milwaukee Hawks → St. Louis Hawks; 1958 NBA champions under Kerner.
ATL-1968-sale,ATL,Atlanta Hawks,1968-05-03,sale,Ben Kerner,Thomas Cousins & Carl Sanders,group,3500000,~$3.5M reported contemporaneous sale + relocation to Atlanta,https://en.wikipedia.org/wiki/Ben_Kerner,Ben Kerner (sale to Cousins/Sanders May 3 1968 for $3.5M),HIGH,Kerner sold St. Louis Hawks; new owners relocated franchise to Atlanta.
ATL-1977-majority,ATL,Atlanta Hawks,1977-01-03,majority_stake,Tom Cousins / Bud Seretean interests,Ted Turner,majority,,GAP: contemporaneous NYT coverage estimated ~$4M for ~55% but no official confirmed cash figure — leave blank,https://www.nytimes.com/1977/01/04/archives/turner-buys-the-hawks-day-after-baseball-ban.html,"Turner Buys the Hawks, Day After Baseball Ban (NYT archives)",HIGH,Turner acquired controlling (~55%) interest Jan 1977; Cousins/Seretean retained minority. Later Time Warner inheritance via TBS preceded 2004 Atlanta Spirit sale.
ATL-2004-sale,ATL,Atlanta Hawks,2004-03-31,sale,Time Warner / previous ownership,Atlanta Spirit LLC,group,250000000,Approx. $250M reported for Hawks+Thrashers package era; team-only allocation uncertain,https://www.nba.com/hawks/news/atlanta_spirit_sale_040331.html,"Atlanta Spirit LLC Announces Close of Sale for Teams, Arena (Hawks.com)",HIGH,Atlanta Spirit closed purchase of Hawks + Thrashers + Philips Arena ops from Time Warner; ~$250M package era commonly cited (team-only allocation uncertain). Later sold to Ressler group.
ATL-2015-sale,ATL,Atlanta Hawks,2015-06-25,sale,Atlanta Spirit LLC,Tony Ressler-led group,majority,850000000,Reported ~$850M purchase of franchise,https://www.nba.com/hawks/news/group-led-tony-ressler-completes-purchase-atlanta-hawks,Group Led By Tony Ressler Completes Purchase of Atlanta Hawks,HIGH,Ressler controlling owner/governor; PE (e.g. Blue Owl/Dyal) later took minority stakes.
ATL-2022-minority,ATL,Atlanta Hawks,2022-01-04,minority_stake,Existing Hawks minority shareholders (nine LPs),Dyal HomeCourt Partners (Blue Owl),group,,GAP: cash undisclosed; ~6% from minority LPs (Ressler did not sell). Sportico valued franchise near ~$2B at deal,https://www.sportico.com/leagues/basketball/2022/dyals-atlanta-hawks-stake-1234657575/,Dyal's Atlanta Hawks Stake Bolsters NBA Private Equity Boomlet (Sportico),HIGH,PR Newswire / Blue Owl announce same day. Passive institutional minority under Ressler control.
BKN-1967-other,BKN,New Jersey Americans,1967,other,ABA,Arthur J. Brown / Mark Binstein-led group,group,,GAP: ABA franchise award economics not a secondary-market sale,http://www.remembertheaba.com/TeamMaterial/NewYorkMaterial/AmericansNetsYearly.html,Remember the ABA: New Jersey Americans / New York Nets yearly notes,HIGH,ABA founding as New Jersey Americans (1967–68).
BKN-1968-relocation,BKN,New York Nets,1968,relocation,,Arthur J. Brown (owner),sole,,,https://en.wikipedia.org/wiki/History_of_the_Brooklyn_Nets,History of the Brooklyn Nets (NJ Americans→NY Nets 1968),HIGH,Moved to Long Island; rebranded New York Nets.
BKN-1976-other,BKN,New York Nets,1976-06-17,other,ABA,Existing ABA ownership (Roy Boe era / NBA entry),unknown,3200000,ABA–NBA merger entry charge ~$3.2M (not a market sale),https://en.wikipedia.org/wiki/History_of_the_Brooklyn_Nets,History of the Brooklyn Nets (ABA–NBA merger),HIGH,Nets entered NBA from ABA with Nuggets/Pacers/Spurs.
BKN-1977-relocation,BKN,New Jersey Nets,1977,relocation,,Roy Boe (owner),sole,,,https://en.wikipedia.org/wiki/History_of_the_Brooklyn_Nets,History of the Brooklyn Nets (return to New Jersey 1977),HIGH,NY Nets → New Jersey Nets after NBA entry financial pressure.
BKN-1978-sale,BKN,New Jersey Nets,1978-08,sale,Roy Boe,"Secaucus Seven (Alan Cohen, Joseph Taub et al.)",group,,GAP: exact purchase price for Secaucus Seven buyout not confirmed here,https://www.nytimes.com/1978/08/09/archives/purchase-of-the-nets-ready-to-wrap-it-up-nets-deal-almost-complete.html,Purchase of the Nets: Ready to Wrap It Up (NYT archives),MEDIUM,Local investor group saved franchise in NJ; preceded Chambers/Katz and YankeeNets eras.
BKN-2004-sale,BKN,Brooklyn Nets,2004-01-22,sale,YankeeNets / prior NJ ownership,Bruce Ratner / Forest City (Nets to Brooklyn plan),group,300000000,NYT/ESPN contemporaneous: Ratner group bought Nets from YankeeNets for ~$300M (outbid Kushner/Corzine ~$267.5M).,https://www.nytimes.com/2004/01/22/sports/pro-basketball-overview-nets-are-sold-for-300-million-dream-grows-brooklyn.html,"Nets Are Sold for $300 Million, And Dream Grows in Brooklyn (NYT)",HIGH,Led to Brooklyn relocation plan; franchise then still NJ Nets. Price gap closed vs prior Spotrac blank.
