season,fga,fg_pct,fg3a,fg3_pct,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts
1979-80,86.8,0.481,2.8,0.280,29.0,0.755,15.8,29.5,45.3,23.7,10.3,5.6,17.9,24.3,108.8
1980-81,85.6,0.489,2.4,0.245,28.6,0.761,15.7,29.4,45.1,23.6,10.1,5.8,17.7,24.7,108.5
1981-82,85.2,0.493,2.0,0.250,28.5,0.747,15.0,29.8,44.8,23.7,10.0,5.7,17.7,24.4,108.2
1982-83,84.9,0.490,1.9,0.239,28.9,0.751,15.0,28.9,43.9,23.3,9.9,5.6,17.9,24.4,108.4
1983-84,84.7,0.491,1.7,0.244,29.3,0.752,15.1,29.0,44.1,23.3,9.9,5.8,17.9,24.6,108.3
1984-85,85.6,0.496,2.0,0.282,29.3,0.758,15.1,29.2,44.3,23.8,9.8,5.8,18.0,24.4,109.1
1985-86,86.5,0.488,2.3,0.282,29.3,0.764,15.0,29.4,44.4,24.3,10.1,5.8,18.3,24.7,109.9
1986-87,86.4,0.479,2.4,0.284,30.2,0.766,14.9,29.2,44.1,24.3,10.2,6.0,18.4,24.6,109.5
1987-88,86.7,0.480,2.9,0.275,29.5,0.768,14.8,29.3,44.1,24.3,10.5,5.9,18.1,24.8,109.9
1988-89,86.9,0.478,3.3,0.302,29.4,0.769,14.9,29.4,44.3,24.4,10.5,5.8,17.9,24.7,109.7
1989-90,86.6,0.478,4.0,0.331,29.1,0.771,14.7,29.5,44.2,24.5,10.4,5.9,17.6,24.5,109.6
1990-91,87.0,0.477,5.0,0.318,28.8,0.773,14.9,29.6,44.5,24.7,10.4,5.9,17.4,24.4,109.7
1991-92,87.4,0.471,5.3,0.311,28.6,0.762,14.7,29.7,44.4,24.2,10.2,5.8,17.3,24.3,108.2
1992-93,87.0,0.468,6.6,0.335,28.2,0.760,14.5,29.5,44.0,24.0,10.0,5.6,17.4,24.0,107.4
1993-94,86.5,0.465,9.9,0.333,27.4,0.747,13.8,29.5,43.3,24.1,10.0,5.5,17.4,24.1,106.8
1994-95,86.9,0.468,12.7,0.357,27.2,0.750,13.9,29.6,43.5,23.9,10.1,5.5,17.0,23.8,107.9
1995-96,86.7,0.469,15.3,0.367,27.1,0.739,13.5,29.9,43.4,23.6,10.1,5.5,16.6,23.8,107.6
1996-97,85.7,0.456,16.8,0.360,27.6,0.726,13.3,29.6,42.9,22.5,9.6,5.3,16.1,23.6,103.1
1997-98,84.1,0.447,13.7,0.346,26.5,0.727,13.1,29.4,42.5,21.5,9.2,5.2,15.3,22.9,99.4
1998-99,84.5,0.439,12.7,0.331,26.3,0.714,13.1,29.0,42.1,20.9,9.0,5.3,15.4,23.0,97.5
1999-00,87.0,0.446,13.7,0.353,27.8,0.750,13.5,29.6,43.1,21.6,9.3,5.4,15.9,23.2,99.5
2000-01,87.6,0.442,13.7,0.354,28.3,0.754,13.8,29.9,43.7,21.5,9.2,5.5,15.8,23.1,99.2
2001-02,86.8,0.445,14.7,0.354,28.6,0.751,13.5,30.0,43.5,21.7,9.2,5.5,15.6,23.1,99.1
2002-03,86.6,0.442,14.7,0.349,28.6,0.754,13.4,30.0,43.4,22.0,9.2,5.4,15.5,22.9,99.1
2003-04,85.9,0.439,14.9,0.347,28.0,0.750,13.2,29.8,43.0,21.8,9.0,5.5,15.2,22.7,98.3
2004-05,86.5,0.447,15.8,0.356,28.3,0.758,13.2,30.2,43.4,22.5,9.1,5.4,15.1,22.4,100.0
2005-06,86.1,0.453,16.0,0.358,28.1,0.754,12.9,30.2,43.1,22.5,9.1,5.5,14.9,22.1,100.5
2006-07,85.7,0.458,16.9,0.358,27.7,0.768,12.8,30.3,43.1,22.5,9.1,5.4,14.7,21.9,100.7
2007-08,85.6,0.457,18.1,0.362,27.4,0.768,12.6,30.3,42.9,22.6,9.2,5.4,14.6,21.8,100.5
2008-09,85.2,0.461,18.1,0.367,27.2,0.765,12.6,30.3,42.9,22.5,9.2,5.4,14.5,21.7,100.4
