name,url,grain,coverage,access,license_notes,package,priority,notes
Basketball-Reference,https://www.basketball-reference.com/,season/game/player/draft,BAA–present,cite-scrape,Sports Reference data-use; ~20 req/min; no competing DB,basketball_reference_scraper|ballr|hoopR bref_*,P0,Primary for avg_game_by_decade; already in use
NBA Stats API (stats.nba.com),https://www.nba.com/stats,game/PBP/tracking-summary/combine,~1996– varies by endpoint,open-tool,NBA ToS: news/private noncommercial; no comprehensive public DB republication,nba_api|hoopR|nbastatR,P0,Derive cite; don't mirror wholesale
nba_api,https://github.com/swar/nba_api,API client,endpoint-dependent (prefer V3 PBP/scoreboard),open-tool,MIT wrapper; upstream NBA ToS,nba_api,P0,Python default live client
hoopR,https://github.com/sportsdataverse/hoopR,PBP/box/API/BRef/KenPom,~2002– ESPN PBP; 127+ NBA wrappers,open-tool,MIT; upstream ToS vary; KenPom needs sub,hoopR,P0,R default
hoopR-data,https://github.com/sportsdataverse/hoopR-data,PBP parquet/CSV/RDS,~2002–2026,bulk-mirror,Convenience dump; cite ESPN/NBA upstream — do not treat as open license grant,hoopR loaders,P0,Static PBP research
nbastatR,https://github.com/abresler/nbastatR,API+FO scrapers,modern NBA + historical helpers,open-tool,MIT client; respect upstream ToS,nbastatR,P0,R FO-oriented
shufinskiy/nba_data,https://github.com/shufinskiy/nba_data,PBP/shots bulk,~1996/97– (multi-source),bulk-mirror,Apache-2.0 repo; data from NBA endpoints — ToS-bound; do not vendor into glen-w/hoops,,P0,Convenient PBP archive for local research
pbpstats,https://github.com/dblackrun/pbpstats,possession/lineup,stats.nba / data.nba dependent,open-tool,Open-source parser; upstream NBA ToS,pbpstats,P1,On/off enrichment
basketball_reference_scraper,https://github.com/vishaalagartha/basketball_reference_scraper,BRef tables,historical,open-tool,MIT + BRef/SR etiquette,basketball_reference_scraper,P0,Python BRef pulls
ballr,https://github.com/rtelmore/ballr,BRef per-game,historical,open-tool,CRAN/GitHub; SR ToS,ballr,P1,R BRef scrapers
BasketballAnalyzeR,https://cran.r-project.org/package=BasketballAnalyzeR,analysis/viz,bring-your-own / book datasets,open-tool,CRAN (GPL-family),BasketballAnalyzeR,P1,In Zotero analytics; teaching viz
wehoop,https://github.com/sportsdataverse/wehoop,WNBA/WBB PBP,ESPN eras,open-tool,MIT-family,wehoop,P1,WNBA companion
